sample,weighting,avrami_t0,avrami_k,avrami_n,avrami_t0_se,avrami_k_se,avrami_n_se,rmse_X,r2_X
FAPI,area_weighted,1.6460187077230598e-23,0.09115038942098182,0.8792832642549369,0.07189278178970385,0.002332736920806018,0.007390788929988564,0.01860914079901928,0.9939308761220012
FAPI-TEMPO,area_weighted,7.473340062445839e-24,0.10329179723831136,0.8265116890732482,0.09031277954675236,0.003247793706868617,0.009061870940245052,0.025146800264374523,0.9880374500357161
