r_over_R,mean_veff_FAPI,std_veff_FAPI,cv_veff_FAPI,n_grains_FAPI,mean_ring_pixels_FAPI,mean_veff_FAPI_TEMPO,std_veff_FAPI_TEMPO,cv_veff_FAPI_TEMPO,n_grains_FAPI_TEMPO,mean_ring_pixels_FAPI_TEMPO
0.02,0.04161069246002268,0.01834428034659535,0.440854964483457,63383,48.65039521638294,0.0347661200694963,0.01692786185567438,0.48690684556793096,46467,42.47629500505735
0.06,0.03802800629844225,0.017295791084606243,0.4548171931199752,110713,99.28222521293796,0.030771865904997243,0.014190488826570426,0.4611513929763336,127721,68.22081725009983
0.1,0.0372841963224465,0.01704116691961295,0.45706139867506074,123637,150.86629407054522,0.029989994495852764,0.01363396628795753,0.4546171653963769,163104,94.58389125956445
0.14,0.03713361108452372,0.016989220253084858,0.4575159742588435,126335,207.2039498159655,0.029835933733579154,0.0135351773637594,0.453653553618337,172363,126.56987288455178
0.18,0.03710460481128865,0.016977562660087115,0.457559452430063,126810,265.4700496806246,0.029810262222446576,0.013521198378023161,0.45357529152635057,173931,161.45944656214246
0.22,0.03709951399851417,0.016975834946890953,0.45757566925461163,126878,324.2196125411813,0.029806749106525754,0.013518951755316267,0.4535533783641132,174156,197.06739934311767
0.26,0.0370983106818823,0.016975396165594844,0.45757868359987386,126895,382.743535994326,0.029805015139909134,0.013517588366910588,0.45353402115238106,174209,232.66397832488562
0.30000000000000004,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,440.558719926871,0.029804690728978445,0.01351728148724615,0.45352866131583763,174223,267.9396290960436
0.33999999999999997,0.0370979316744944,0.016975232323607935,0.4575789419354277,126898,496.79074532301536,0.02980461773529274,0.013517271185192805,0.4535294263877275,174224,302.41858756543303
0.38,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,549.9353343997983,0.029804540324475843,0.013517168634435807,0.45352716355552536,174227,335.25272202356695
0.42000000000000004,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,597.8773355187984,0.029804540324475843,0.013517168634435807,0.45352716355552536,174227,365.3822541856314
0.45999999999999996,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,638.2319088408892,0.029804540324475843,0.013517168634435807,0.45352716355552536,174227,391.1833412731666
0.5,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,668.1359506379089,0.029804540324475843,0.013517168634435807,0.45352716355552536,174227,411.0338179501455
0.54,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,684.711140355716,0.029804540324475843,0.013517168634435807,0.45352716355552536,174227,423.15449958961585
0.5800000000000001,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,685.1608838525126,0.029804540324475843,0.013517168634435807,0.45352716355552536,174227,426.0791438755187
0.62,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,667.3167322043515,0.029804540324475843,0.013517168634435807,0.45352716355552536,174227,417.9764445235239
0.66,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,630.2020346890047,0.029804540324475843,0.013517168634435807,0.45352716355552536,174227,397.69181584943783
0.7,0.03709808688297321,0.016975255479882764,0.4575776517379887,126899,574.1154619027731,0.02980471625471022,0.013517343549684287,0.4535303552016892,174219,365.1632313352734
0.74,0.037098572855784016,0.01697568336633899,0.4575831914701894,126888,501.2985073450602,0.029805995132348762,0.013518208277171317,0.4535399075637593,174165,321.5314672867683
0.78,0.037102287896938174,0.01697680953135248,0.4575677267803604,126831,417.0739487980068,0.029810784644327026,0.013521733743454783,0.45358530158742266,173887,269.6730980464325
0.8200000000000001,0.037124394391953634,0.016986156974392458,0.4575470456179091,126498,328.8877610713213,0.029830142034621424,0.013535338617001201,0.4537470388606207,172711,214.26929379136246
0.86,0.037202250518550396,0.01701899185651223,0.4574721050283219,125261,244.63857066445263,0.02989262435426337,0.01358568624669181,0.45448288800893394,168853,160.9344696274274
0.9,0.037410521038588045,0.01710149916460737,0.4571307399586225,121642,170.9645106131106,0.03008144452784547,0.013737485459655434,0.4566763888927962,157964,115.18375705857031
0.94,0.03798572931912079,0.017319985019054584,0.45596031271502435,111624,111.22915322869633,0.03059032142812606,0.014146993384286214,0.4624663201897205,132406,79.13714635288432
0.98,0.03990359025437913,0.01790745639578696,0.44876805023381944,83825,60.58035192365046,0.03238506752698864,0.015469337179944545,0.4776688258269931,77695,49.42686144539546
