file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error,rank_for_t0,t0_ms,dt_ms,R_um_final,v_eff_um_per_ms
FAPI_TEMPO_27_6,13099.3802,52.0239,468.1837,14.588,0.249021,0.046894,0,0.0,0.0,5.662202,0.00566,0.101418,0.012677,23,0.2169811320754717,599.7830188679245,64.57292172838551,0.10766047003175463
FAPI_TEMPO_23_8,13014.2562,51.8546,466.0347,14.5545,0.247004,0.047129,0,0.0,0.0,5.804307,0.005683,0.260716,0.032589,24,0.22641509433962265,599.7735849056604,64.36277192437171,0.10731178155252613
FAPI_TEMPO_12_14,12878.3058,51.583,460.0019,14.46,0.235197,0.04818,5,143.1818,19.4542,5.641914,0.005704,0.210774,0.026347,25,0.2358490566037736,599.7641509433962,64.02571400178253,0.10675148539817457
FAPI_TEMPO_31_25,12835.124,51.4965,453.1057,14.3512,0.214383,0.049865,1,39.2562,0.0,5.310647,0.00569,0.091267,0.011408,26,0.24528301886792453,599.7547169811321,63.91828267088251,0.10657403912155199
FAPI_TEMPO_33_13,12516.3223,50.8529,464.7869,14.535,0.27192,0.045634,1,19.4215,0.0,5.524602,0.005774,0.109159,0.013645,27,0.25471698113207547,599.7452830188679,63.119482941106554,0.10524381721418362
FAPI_TEMPO_39_38,12146.6942,50.0964,498.4689,15.0525,0.385684,0.037188,0,0.0,0.0,5.571546,0.005875,0.300402,0.03755,28,0.2641509433962264,599.7358490566038,62.18048607329562,0.1036797886454624
FAPI_TEMPO_23_6,11990.7025,49.7737,458.1224,14.4304,0.282054,0.045327,1,24.1736,0.0,5.687328,0.005911,0.246461,0.030808,29,0.27358490566037735,599.7264150943396,61.779925121666295,0.10301351344003756
FAPI_TEMPO_47_22,11615.7025,48.9892,431.0859,13.9981,0.214533,0.051119,1,28.0992,0.0,5.540117,0.006001,0.086012,0.010751,30,0.2830188679245283,599.7169811320755,60.806191631443035,0.10139147888835869
FAPI_TEMPO_16_20,11579.5455,48.9129,428.7508,13.9602,0.208426,0.051656,2,43.3884,2.0454,5.512128,0.006003,0.128051,0.016006,31,0.29245283018867924,599.7075471698113,60.71148005249935,0.10123514426158868
FAPI_TEMPO_25_11,11454.1322,48.6473,441.8201,14.1714,0.262637,0.047405,1,20.2479,0.0,5.732715,0.006054,0.150306,0.018788,32,0.3018867924528302,599.6981132075472,60.38181445531504,0.10068701756014652
