dataset,n_points,normalize_method,normalize_denom,X_ind,X_sat,persist_M,smooth_win,fwhm_mode,frac_onset,t_ind_ms,t_sat_ms,induction_time_X05_ms,induction_time_burst_ms,growth_duration_ms,peak_t_ms,peak_dXdt_per_ms,fwhm_left_ms,fwhm_right_ms,fwhm_ms,w_eq_ms,sharpness_X,synchrony_X,peak_dndt_per_ms,sharpness_n,synchrony_n,peak_ratio_dndt_over_dXdt,used_fallback_t_ind,used_fallback_t_sat,used_fallback_window
FAPI,150,p99,0.03917491178714471,0.05,0.9,3,7,burst,0.05,0.0,138.0,0.0,4.0,58.0,46.0,0.021574925551428092,43.32479087452473,56.92799834818006,13.603207473655331,18.648609308475134,1.3708979551029408,4.263700315703173,0.9285714285714288,1.2375399661463224,1.701711491442543,43.03938043067614,False,False,False
FAPI_TEMPO,158,p99,0.0293464202269692,0.05,0.9,3,7,burst,0.05,0.0,174.0,0.0,8.0,200.0,170.0,0.03682802426106396,165.47924033474774,175.36597562022496,9.886735285477215,14.479590097486957,1.4645471613623822,20.22912460231268,2.9999999999999982,1.4393698414558604,12.803234501347708,81.45970521616378,False,False,False
