label,file_name,json_file,grain_index,area_px,circularity_C,defect_frac_phi,rank,t0_ms,dt_ms_for_v,R_um_final,v_unpen_um_per_ms,penalty_factor,v_eff_um_per_ms,v_unpen_um_per_s,v_eff_um_per_s
FAPI,FAPI_44_70,FAPI_44.json,70,5402.0,0.2897835447491985,0.0,0,0.0,600.0,18.847425560902757,0.03141237593483793,0.2416093990074625,0.00758952527101267,31.41237593483793,7.58952527101267
FAPI,FAPI_37_42,FAPI_37.json,42,5204.0,0.392850061737824,0.0,1,0.017133066818960593,599.9828669331811,18.498792916305835,0.03083220194413653,0.29691782067708755,0.00915463020792888,30.83220194413653,9.154630207928879
FAPI,FAPI_13_100,FAPI_13.json,100,4598.0,0.37601632187645434,0.0,2,0.034266133637921185,599.965733866362,17.38838431220798,0.02898229570570961,0.2870877513143579,0.008320462102079942,28.98229570570961,8.320462102079942
FAPI,FAPI_45_143,FAPI_45.json,143,4358.0,0.34399434135072815,0.0,3,0.05139920045688178,599.9486007995431,16.928495395832822,0.028216576175479787,0.26927790803672874,0.007598100604492198,28.216576175479787,7.598100604492197
FAPI,FAPI_44_71,FAPI_44.json,71,4025.0,0.5297351485928684,0.0,4,0.06853226727584237,599.9314677327242,16.268881249283293,0.027117899500699722,0.3904209734872967,0.010587396721993863,27.11789950069972,10.587396721993862
FAPI,FAPI_47_75,FAPI_47.json,75,3956.0,0.5344000231164191,0.0,5,0.08566533409480297,599.9143346659052,16.128830885230585,0.026885223361453426,0.3940805481036911,0.010594943558171727,26.885223361453427,10.594943558171726
FAPI,FAPI_38_47,FAPI_38.json,47,3905.0,0.5172845046495254,0.0,6,0.10279840091376356,599.8972015990862,16.024528722933717,0.026712124477691723,0.38081903490233193,0.010172485463785519,26.712124477691724,10.172485463785518
FAPI,FAPI_21_100,FAPI_21.json,100,3814.0,0.35391169602999384,0.02464604090194022,7,0.11993146773272416,599.8800685322673,15.83671463476046,0.02639980133613759,0.25509615393438945,0.006734487785480655,26.39980133613759,6.734487785480655
FAPI,FAPI_27_90,FAPI_27.json,90,3725.0,0.35720620965849575,0.0,8,0.13706453455168474,599.8629354654483,15.650848421903433,0.026090707554317482,0.27648807684068943,0.007213769555106088,26.090707554317483,7.213769555106088
FAPI,FAPI_23_89,FAPI_23.json,89,3634.0,0.40210084453135303,0.0379746835443038,9,0.15419760137064534,599.8458023986293,15.458494944725555,0.02577078122896085,0.26989497920171396,0.006955404463802309,25.77078122896085,6.955404463802309
FAPI,FAPI_44_72,FAPI_44.json,72,3603.0,0.5098490307141131,0.0,10,0.17133066818960593,599.8286693318104,15.392419034784327,0.025661359354381946,0.3751977950604947,0.009628085448019106,25.661359354381947,9.628085448019107
FAPI,FAPI_31_104,FAPI_31.json,104,3157.0,0.5284249564379018,0.0,11,0.18846373500856653,599.8115362649914,14.408276618640741,0.024021339616708024,0.3893992597200899,0.009353891864230973,24.021339616708023,9.353891864230972
FAPI,FAPI_0_96,FAPI_0.json,96,3120.0,0.46619591339834265,0.0,12,0.20559680182752713,599.7944031981725,14.323595361849518,0.023880841977641783,0.3438299163125119,0.008210947898644896,23.880841977641783,8.210947898644896
FAPI,FAPI_47_99,FAPI_47.json,99,3075.0,0.48937563656937544,0.0,13,0.22272986864648772,599.7772701313535,14.219925034025826,0.023708676107234955,0.3601449366094973,0.008538559653735237,23.708676107234954,8.538559653735238
FAPI,FAPI_46_126,FAPI_46.json,126,3066.0,0.31451830451938956,0.0,14,0.23986293546544832,599.7601370645345,14.199100138740407,0.023674631342183675,0.25386227308807296,0.006010095727048884,23.674631342183677,6.010095727048884
FAPI,FAPI_2_173,FAPI_2.json,173,3032.0,0.6096197712437922,0.0,15,0.2569960022844089,599.7430039977156,14.12015113688534,0.023543669609756922,0.4580575455236937,0.010784355514066035,23.543669609756922,10.784355514066036
FAPI,FAPI_35_98,FAPI_35.json,98,3009.0,0.28227335228438255,0.0,16,0.2741290691033695,599.7258709308966,14.066493202009513,0.023454871440138896,0.23800745186796168,0.005582434185358087,23.454871440138895,5.582434185358087
FAPI,FAPI_46_80,FAPI_46.json,80,2968.0,0.49318331217742845,0.0,17,0.2912621359223301,599.7087378640776,13.970330970639255,0.023295193297326263,0.36289803639622353,0.008453779905070168,23.295193297326264,8.453779905070167
