sample,weighting,avrami_t0,avrami_k,avrami_n,rmse_X,r2_X
FAPI,area_weighted,0.0,0.09111627561154886,0.8753623188405798,0.01891451988920916,0.9937300510851013
FAPI-TEMPO,area_weighted,0.0,0.09111627561154886,0.8753623188405798,0.02749241880142926,0.9857017066758448
