frame_id,time_ms,annotation_id,class,area_px,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,R_px
frame_00013_t26.00ms,0.0,1,,15974716,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2254.9745080107623
frame_00013_t26.00ms,0.0,2,,48820,4598.0,256.0,4492.0,0.0,212.0,512.0,124.65908969462541
frame_00013_t26.00ms,0.0,3,,39760,4483.0,3335.0,4332.0,3246.0,302.0,178.0,112.49889365974902
frame_00013_t26.00ms,0.0,4,,38508,4621.0,2767.0,4538.0,2622.0,166.0,290.0,110.71349103503788
frame_00013_t26.00ms,0.0,5,,30136,4598.0,90.0,4492.0,0.0,212.0,180.0,97.9417517202685
frame_00013_t26.00ms,0.0,11,,1308,1037.0,299.0,1018.0,278.0,38.0,42.0,20.404639941160397
frame_00013_t26.00ms,0.0,12,,1016,3993.0,1197.0,3974.0,1178.0,38.0,38.0,17.983404693292407
frame_00014_t28.00ms,0.0,1,,15990908,2352.0,1710.0,0.0,0.0,4704.0,3420.0,2256.11704161275
frame_00014_t28.00ms,0.0,3,,48808,4598.0,255.0,4492.0,0.0,212.0,510.0,124.64376809475256
frame_00014_t28.00ms,0.0,4,,40176,4483.0,3335.0,4332.0,3246.0,302.0,178.0,113.08588765765592
frame_00014_t28.00ms,0.0,6,,38584,4622.0,2767.0,4540.0,2622.0,164.0,290.0,110.82269013390435
frame_00014_t28.00ms,0.0,7,,38076,4622.0,3146.0,4540.0,2974.0,164.0,344.0,110.09072270783771
frame_00014_t28.00ms,0.0,8,,30316,4598.0,91.0,4492.0,0.0,212.0,182.0,98.23381550946598
frame_00014_t28.00ms,0.0,16,,1244,3994.0,1196.0,3974.0,1176.0,40.0,40.0,19.899183360445615
frame_00015_t30.00ms,0.0,1,,15982856,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2255.548951863363
frame_00015_t30.00ms,0.0,2,,115972,4583.0,2973.0,4462.0,2618.0,242.0,710.0,192.13285539049943
frame_00015_t30.00ms,0.0,4,,49120,4597.0,255.0,4490.0,0.0,214.0,510.0,125.04151954190175
frame_00015_t30.00ms,0.0,6,,40328,4482.0,3335.0,4330.0,3246.0,304.0,178.0,113.29960763400689
frame_00015_t30.00ms,0.0,7,,38824,4620.0,2766.0,4536.0,2622.0,168.0,288.0,111.16682518269329
frame_00015_t30.00ms,0.0,8,,38220,4622.0,3146.0,4540.0,2974.0,164.0,344.0,110.29870284796861
frame_00015_t30.00ms,0.0,9,,30300,4596.0,90.0,4488.0,0.0,216.0,180.0,98.20788945583169
frame_00015_t30.00ms,0.0,11,,19284,4535.0,3356.0,4436.0,3288.0,198.0,136.0,78.34722614852564
frame_00015_t30.00ms,0.0,17,,1344,3992.0,1195.0,3970.0,1174.0,44.0,42.0,20.683531783305643
frame_00016_t32.00ms,0.0,1,,15988072,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2255.9169706835955
frame_00016_t32.00ms,0.0,2,,116864,4582.0,2976.0,4460.0,2618.0,244.0,716.0,192.87033607836773
frame_00016_t32.00ms,0.0,4,,61572,4563.0,2410.0,4422.0,2270.0,282.0,280.0,139.99634392407668
frame_00016_t32.00ms,0.0,5,,48784,4598.0,254.0,4492.0,0.0,212.0,508.0,124.61311924348112
frame_00016_t32.00ms,0.0,8,,40616,4484.0,3335.0,4332.0,3246.0,304.0,178.0,113.70344910002002
frame_00016_t32.00ms,0.0,9,,39304,4619.0,2766.0,4534.0,2620.0,170.0,292.0,111.8519189221522
frame_00016_t32.00ms,0.0,10,,38756,4624.0,1401.0,4544.0,1250.0,160.0,302.0,111.06942850730344
frame_00016_t32.00ms,0.0,11,,35744,4622.0,3147.0,4540.0,2976.0,164.0,342.0,106.66615476219913
frame_00016_t32.00ms,0.0,12,,30320,4597.0,91.0,4490.0,0.0,214.0,182.0,98.24029595381181
frame_00016_t32.00ms,0.0,21,,1484,3995.0,1195.0,3972.0,1174.0,46.0,42.0,21.73411767467788
frame_00016_t32.00ms,0.0,22,,1296,3373.0,3080.0,3356.0,3056.0,34.0,48.0,20.310825007719227
frame_00017_t34.00ms,0.0,1,,15970436,2352.0,1707.0,0.0,0.0,4704.0,3414.0,2254.672407571777
frame_00017_t34.00ms,0.0,2,,117720,4581.0,2977.0,4458.0,2618.0,246.0,718.0,193.5754111491329
frame_00017_t34.00ms,0.0,4,,49272,4596.0,255.0,4488.0,0.0,216.0,510.0,125.23483825217221
frame_00017_t34.00ms,0.0,7,,40660,4482.0,3335.0,4330.0,3246.0,304.0,178.0,113.7650208642047
frame_00017_t34.00ms,0.0,8,,39444,4618.0,2766.0,4532.0,2622.0,172.0,288.0,112.05094890554672
frame_00017_t34.00ms,0.0,9,,39012,4622.0,1401.0,4540.0,1250.0,164.0,302.0,111.43565533437689
frame_00017_t34.00ms,0.0,10,,35432,4621.0,3147.0,4538.0,2976.0,166.0,342.0,106.19960398826387
frame_00017_t34.00ms,0.0,11,,30328,4596.0,90.0,4488.0,0.0,216.0,180.0,98.25325556022052
frame_00017_t34.00ms,0.0,13,,19212,4535.0,3356.0,4436.0,3288.0,198.0,136.0,78.20082821404762
frame_00017_t34.00ms,0.0,21,,1492,3372.0,3077.0,3354.0,3052.0,36.0,50.0,21.792621462004423
frame_00018_t36.00ms,0.0,1,,15969612,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2254.6142415320846
frame_00018_t36.00ms,0.0,2,,117352,4582.0,2973.0,4460.0,2616.0,244.0,714.0,193.27260996695887
frame_00018_t36.00ms,0.0,4,,64208,4559.0,1035.0,4414.0,884.0,290.0,302.0,142.96167728481936
frame_00018_t36.00ms,0.0,5,,62800,4554.0,2413.0,4404.0,2276.0,300.0,274.0,141.38550439257222
frame_00018_t36.00ms,0.0,7,,49356,4597.0,255.0,4490.0,0.0,214.0,510.0,125.34154435974999
frame_00018_t36.00ms,0.0,8,,46184,83.0,315.0,0.0,142.0,166.0,346.0,121.24695370817442
frame_00018_t36.00ms,0.0,10,,40836,4484.0,3335.0,4332.0,3246.0,304.0,178.0,114.0109754023764
frame_00018_t36.00ms,0.0,11,,39688,4618.0,2766.0,4532.0,2620.0,172.0,292.0,112.3969873389064
frame_00018_t36.00ms,0.0,12,,38644,4622.0,1400.0,4540.0,1250.0,164.0,300.0,110.90882400281056
frame_00018_t36.00ms,0.0,13,,35136,4621.0,3147.0,4538.0,2976.0,166.0,342.0,105.75507628929057
frame_00018_t36.00ms,0.0,15,,30280,4596.0,90.0,4488.0,0.0,216.0,180.0,98.17547226087166
frame_00018_t36.00ms,0.0,25,,748,1313.0,1404.0,1296.0,1388.0,34.0,32.0,15.430353037616328
frame_00019_t38.00ms,0.0,1,,15977008,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2255.136270391994
frame_00019_t38.00ms,0.0,2,,117112,4582.0,2974.0,4460.0,2618.0,244.0,712.0,193.0748750893189
frame_00019_t38.00ms,0.0,4,,65448,4558.0,1037.0,4412.0,886.0,292.0,302.0,144.33553072946637
frame_00019_t38.00ms,0.0,5,,63372,4553.0,2412.0,4402.0,2274.0,302.0,276.0,142.0279342497073
frame_00019_t38.00ms,0.0,7,,49636,4597.0,255.0,4490.0,0.0,214.0,510.0,125.69657716349572
frame_00019_t38.00ms,0.0,8,,47576,85.0,316.0,0.0,142.0,170.0,348.0,123.06059948285652
frame_00019_t38.00ms,0.0,11,,40876,4483.0,3335.0,4330.0,3246.0,306.0,178.0,114.06680019904401
frame_00019_t38.00ms,0.0,12,,39648,4617.0,2766.0,4530.0,2620.0,174.0,292.0,112.34033277240607
