dataset,n_points,normalize_method,normalize_denom,X_ind,X_sat,persist_M,smooth_win,t_ind_ms,t_sat_ms,induction_time_X05_ms,induction_time_burst_ms,growth_duration_ms,peak_t_ms,peak_dXdt_per_ms,fwhm_left_ms,fwhm_right_ms,fwhm_ms,w_eq_ms,sharpness_X,synchrony_X,peak_dndt_per_ms,sharpness_n,synchrony_n,peak_ratio_dndt_over_dXdt
FAPI,150,p99,0.03917491178714471,0.05,0.9,3,7,0.0,138.0,0.0,3.220000000000001,138.0,46.0,0.019717922451767872,5.875000000000002,58.81818181818181,52.94318181818181,43.23809523809522,4.480192114421699,0.823998496962616,0.9285714285714288,3.588000000000001,1.0,47.09276197037558
FAPI_TEMPO,158,p99,0.0293464202269692,0.05,0.9,3,7,0.0,174.0,0.0,4.900000000000008,174.0,172.0,0.0286749140743911,,,,16.643678160919535,9.285559042894187,,2.9999999999999982,16.609090909090902,,104.62106328260033
