dataset,track_id_input,frame_idx,t_ms,det_id,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,R_px,score,R_mono,track_id,r_px,time_ms,x_um,y_um,r_um
FAPI,4,21,42.0,2,4511.0,3052.0,4452.0,2990.0,118.0,124.0,11144.0,59.55875562528286,1.0,59.55875562528286,3,59.55875562528286,42.0,293.21500000000003,198.38,3.871319115643386
FAPI,2,21,42.0,3,3904.0,480.0,3888.0,460.0,32.0,40.0,984.0,17.697935698969246,1.0,17.697935698969246,2,17.697935698969246,42.0,253.76000000000002,31.200000000000003,1.150365820433001
FAPI,1,21,42.0,1,4534.0,3345.0,4394.0,3268.0,280.0,154.0,26068.0,91.09172362536049,1.0,91.09172362536049,4,91.09172362536049,42.0,294.71000000000004,217.425,5.920962035648432
FAPI,5,21,42.0,0,4395.0,125.0,4278.0,14.0,234.0,222.0,31336.0,99.87271195604566,1.0,99.87271195604566,5,99.87271195604566,42.0,285.675,8.125,6.491726277142968
FAPI,2,22,44.0,5,3904.0,481.0,3888.0,462.0,32.0,38.0,996.0,17.805522925178455,1.0,17.805522925178455,2,17.805522925178455,44.0,253.76000000000002,31.265,1.1573589901365995
FAPI,1,22,44.0,1,4535.0,3340.0,4392.0,3260.0,286.0,160.0,28176.0,94.70321722684234,1.0,94.70321722684234,4,94.70321722684234,44.0,294.77500000000003,217.1,6.155709119744753
FAPI,4,22,44.0,3,4513.0,3057.0,4452.0,2986.0,122.0,142.0,12536.0,63.169080515708,1.0,63.169080515708,3,63.169080515708,44.0,293.345,198.705,4.1059902335210205
FAPI,5,22,44.0,0,4403.0,128.0,4278.0,12.0,250.0,232.0,34840.0,105.3086721720641,1.0,105.3086721720641,5,105.3086721720641,44.0,286.195,8.32,6.845063691184167
FAPI,5,23,46.0,0,4409.0,129.0,4278.0,10.0,262.0,238.0,37316.0,108.98647490782668,1.0,108.98647490782668,5,108.98647490782668,46.0,286.58500000000004,8.385,7.084120869008734
FAPI,1,23,46.0,1,4536.0,3337.0,4390.0,3254.0,292.0,166.0,30192.0,98.03270925390672,1.0,98.03270925390672,4,98.03270925390672,46.0,294.84000000000003,216.905,6.3721261015039365
FAPI,2,23,46.0,3,3905.0,481.0,3888.0,460.0,34.0,42.0,1048.0,18.26441241104166,1.0,18.26441241104166,2,18.26441241104166,46.0,253.82500000000002,31.265,1.187186806717708
FAPI,4,23,46.0,2,4513.0,3060.0,4450.0,2984.0,126.0,152.0,13068.0,64.49553157118544,1.0,64.49553157118544,3,64.49553157118544,46.0,293.345,198.9,4.1922095521270535
FAPI,2,24,48.0,4,3905.0,481.0,3888.0,460.0,34.0,42.0,1064.0,18.403307281560924,1.0,18.403307281560924,2,18.403307281560924,48.0,253.82500000000002,31.265,1.19621497330146
FAPI,5,24,48.0,0,4411.0,134.0,4274.0,10.0,274.0,248.0,41400.0,114.79559785988718,1.0,114.79559785988718,5,114.79559785988718,48.0,286.71500000000003,8.71,7.461713860892667
FAPI,1,24,48.0,1,4536.0,3334.0,4386.0,3248.0,300.0,172.0,32904.0,102.34094241793676,1.0,102.34094241793676,4,102.34094241793676,48.0,294.84000000000003,216.71,6.65216125716589
FAPI,4,24,48.0,2,4512.0,3063.0,4446.0,2980.0,132.0,166.0,14888.0,68.84037758106993,1.0,68.84037758106993,3,68.84037758106993,48.0,293.28000000000003,199.095,4.474624542769545
FAPI,4,25,50.0,4,4511.0,3065.0,4444.0,2978.0,134.0,174.0,15632.0,70.53949348290655,1.0,70.53949348290655,3,70.53949348290655,50.0,293.21500000000003,199.225,4.585067076388926
FAPI,5,25,50.0,0,4413.0,141.0,4272.0,8.0,282.0,266.0,44936.0,119.59754615189568,1.0,119.59754615189568,5,119.59754615189568,50.0,286.845,9.165000000000001,7.77384049987322
FAPI,2,25,50.0,5,3905.0,481.0,3888.0,460.0,34.0,42.0,1084.0,18.575465448360347,1.0,18.575465448360347,2,18.575465448360347,50.0,253.82500000000002,31.265,1.2074052541434226
FAPI,8,25,50.0,2,4179.0,3305.0,4146.0,3270.0,66.0,70.0,3756.0,34.57704343211429,1.0,34.57704343211429,6,34.57704343211429,50.0,271.635,214.82500000000002,2.2475078230874286
FAPI,9,25,50.0,3,4414.0,2856.0,4374.0,2832.0,80.0,48.0,2880.0,30.277590264241923,1.0,30.277590264241923,7,30.277590264241923,50.0,286.91,185.64000000000001,1.9680433671757251
FAPI,1,25,50.0,1,4536.0,3333.0,4382.0,3246.0,308.0,174.0,35060.0,105.6406390060364,1.0,105.6406390060364,4,105.6406390060364,50.0,294.84000000000003,216.645,6.8666415353923655
