track_id_norm,row_class_norm,fit_status_norm,qc_pass_norm,primary_failure_mode,all_failure_modes_joined,tau_ms_norm,tau_lower_ms_norm,tau_upper_ms_norm,tau_lb_ratio,tau_ub_ratio,r2_norm,n_points_fit_norm,n_points_total_norm,fit_t_start_ms_norm,fit_t_end_ms_norm,fit_window_ms_norm,fit_window_over_tau,t0_ms_norm,R0_px_norm,Rinf_px_norm,model_name_norm
53,fit_ok_qc_fail,ok,0,unspecified,,31.043902350025814,,,,,0.9881901151274656,17,17,,,,,,,,
54,fit_ok_qc_fail,ok,0,unspecified,,1999.9999977283733,,,,,0.7978447216165383,167,167,,,,,,,,
55,fit_ok_qc_fail,ok,0,unspecified,,1.2341159149037797,,,,,0.8872233955913242,167,167,,,,,,,,
56,fit_ok_qc_fail,ok,0,unspecified,,1.4911934115780854,,,,,0.9636414018318968,166,166,,,,,,,,
57,fit_ok_qc_fail,ok,0,unspecified,,12.832962178042113,,,,,0.9821398275117478,11,11,,,,,,,,
58,fit_ok_qc_fail,ok,0,unspecified,,14.248578326754137,,,,,0.8149079625857846,98,98,,,,,,,,
59,fit_ok_qc_fail,ok,0,unspecified,,12.495056165897845,,,,,0.9387444349685912,95,95,,,,,,,,
60,fit_ok_qc_fail,ok,0,unspecified,,20.610033643233013,,,,,0.9582328418434884,166,166,,,,,,,,
61,fit_ok_qc_fail,ok,0,unspecified,,7.425359606463354,,,,,0.9866303770113344,166,166,,,,,,,,
62,fit_ok_qc_fail,ok,0,unspecified,,1999.9999998942128,,,,,0.841907962291811,166,166,,,,,,,,
63,fit_ok_qc_fail,ok,0,unspecified,,6.335822947548439,,,,,0.8302697772389215,166,166,,,,,,,,
64,fit_ok_qc_fail,ok,0,unspecified,,10.433892229911104,,,,,0.9873617323369428,166,166,,,,,,,,
65,fit_ok_qc_fail,ok,0,unspecified,,17.588087833178953,,,,,0.9067924395431936,166,166,,,,,,,,
66,fit_ok_qc_fail,ok,0,unspecified,,1.0000000000000009,,,,,0.99845054902979,166,166,,,,,,,,
67,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
68,fit_ok_qc_fail,ok,0,unspecified,,31.421245966983037,,,,,0.9768542835756936,17,17,,,,,,,,
69,fit_ok_qc_fail,ok,0,unspecified,,223.6447346969724,,,,,0.913480035043282,19,19,,,,,,,,
70,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
71,fit_ok_qc_fail,ok,0,unspecified,,13.936048078231002,,,,,0.931785054280699,92,92,,,,,,,,
72,fit_ok_qc_fail,ok,0,unspecified,,15.669898840242348,,,,,0.9852414053160014,165,165,,,,,,,,
73,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
