primary_failure_mode,track_id,plot_path,fit_status_norm,qc_pass_norm,tau_ms_norm,r2_norm,fit_window_ms_norm,fit_window_over_tau
unspecified,599,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\unspecified\11_track_599.png,ok,0,27.466545197476947,0.9650813135574848,,
unspecified,228,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\unspecified\12_track_228.png,ok,0,1859.606227606892,0.0569372910303931,,
fit_status:insufficient_growth_dynamic,813,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\01_track_813.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,748,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\02_track_748.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,857,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\03_track_857.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,483,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\04_track_483.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,253,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\05_track_253.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,227,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\06_track_227.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,820,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\07_track_820.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,387,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\08_track_387.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,441,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\09_track_441.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,354,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\10_track_354.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,1,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\11_track_1.png,insufficient_growth_dynamic,0,,,,
fit_status:insufficient_growth_dynamic,910,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_insufficient_growth_dynamic\12_track_910.png,insufficient_growth_dynamic,0,,,,
