dataset,N_final,onset_s,t50_s,peak_dNdt_per_s,t_peak_s,n_events_rows,active_peak_count,active_peak_t_s,growth_peak_um_per_s,growth_peak_t_s,tau_n,tau_median_ms,tau_mean_ms
FAPI,43,0.01,0.09,950.0,0.09,43,22.0,0.0,105.94220783920072,0.05,43,54.12470746942737,76.49196127149307
FAPI-TEMPO,26,0.04,0.082,450.0,0.05,26,139.0,0.0,22.720275570428548,0.05,239,104.1185670105966,4224.0368366453185
