dataset,track_id,tau_ms,fit_r2,fit_nrmse_range,fit_window_over_tau,n_points,tau_source_status,fit_status
FAPI,34,0.4,,,,,provided_tau_fits,
FAPI,39,0.4,,,,,provided_tau_fits,
FAPI,22,2.023905576678646,,,,,provided_tau_fits,
FAPI,27,2.090021752150798,,,,,provided_tau_fits,
FAPI,41,4.873450710076642,,,,,provided_tau_fits,
FAPI,35,6.13642461729479,,,,,provided_tau_fits,
FAPI,13,7.000084842916479,,,,,provided_tau_fits,
FAPI,42,7.880470503528836,,,,,provided_tau_fits,
FAPI,16,10.097600850647437,,,,,provided_tau_fits,
FAPI,23,11.858260719546749,,,,,provided_tau_fits,
FAPI,10,13.974612698215568,,,,,provided_tau_fits,
FAPI,14,16.888347017746614,,,,,provided_tau_fits,
FAPI,8,17.026352908281062,,,,,provided_tau_fits,
FAPI,33,23.135896877903253,,,,,provided_tau_fits,
FAPI,24,28.24594368607305,,,,,provided_tau_fits,
FAPI,4,37.26369038622446,,,,,provided_tau_fits,
FAPI,17,37.72255673129287,,,,,provided_tau_fits,
FAPI,30,41.94092802646466,,,,,provided_tau_fits,
FAPI,18,44.23172817955658,,,,,provided_tau_fits,
FAPI,20,44.30001931586376,,,,,provided_tau_fits,
FAPI,29,44.39875102424975,,,,,provided_tau_fits,
FAPI,32,54.12470746942737,,,,,provided_tau_fits,
FAPI,6,55.36573260784128,,,,,provided_tau_fits,
FAPI,0,61.0955397660129,,,,,provided_tau_fits,
FAPI,2,68.14628974177155,,,,,provided_tau_fits,
FAPI,3,72.6282802477481,,,,,provided_tau_fits,
FAPI,15,81.59330736004856,,,,,provided_tau_fits,
FAPI,31,94.31143105664036,,,,,provided_tau_fits,
FAPI,25,100.0,,,,,provided_tau_fits,
FAPI,28,119.99999999999996,,,,,provided_tau_fits,
FAPI,36,119.99999999999996,,,,,provided_tau_fits,
FAPI,40,119.99999999999996,,,,,provided_tau_fits,
FAPI,38,140.00000000000006,,,,,provided_tau_fits,
FAPI,26,140.00000000000006,,,,,provided_tau_fits,
FAPI,1,140.00000000000006,,,,,provided_tau_fits,
FAPI,9,140.00000000000006,,,,,provided_tau_fits,
FAPI,19,140.00000000000006,,,,,provided_tau_fits,
FAPI,37,159.99999999999991,,,,,provided_tau_fits,
FAPI,7,179.99999999999997,,,,,provided_tau_fits,
FAPI,11,179.99999999999997,,,,,provided_tau_fits,
FAPI,12,179.99999999999997,,,,,provided_tau_fits,
FAPI,21,220.0,,,,,provided_tau_fits,
FAPI,5,319.9999999999999,,,,,provided_tau_fits,
FAPI-TEMPO,571,7.713839214127428,0.8482652265890291,0.0804867981608595,2.852016925593722,72.0,ok,
FAPI-TEMPO,20,8.264775053036965,0.9907072289144848,0.0329118661401317,2.41990857242398,17.0,ok,
FAPI-TEMPO,572,8.331921091650953,0.979543446691712,0.0477308767645311,3.360569512361028,40.0,ok,
FAPI-TEMPO,2,8.714201539225751,0.9968788580376232,0.0190616309965679,2.065593722956204,184.0,qc_fail,
FAPI-TEMPO,681,9.490781102448588,0.9879025612076096,0.0338521645348584,2.528769733590008,58.0,ok,
FAPI-TEMPO,638,9.881975414972816,0.7641019771798387,0.199172762413687,1.2143321042691555,20.0,qc_fail,
FAPI-TEMPO,41,10.31092781611016,0.9951057105266288,0.0206495045233234,3.297472410472819,96.0,ok,
FAPI-TEMPO,4,10.56189649608057,0.9565610221437222,0.062202165916658,2.6510390449660783,25.0,ok,
FAPI-TEMPO,524,10.663401310339022,0.3774184435688409,0.328215895040814,1.1253444985105303,77.0,qc_fail,
FAPI-TEMPO,24,10.82287999135962,0.9818193096950234,0.0410004037464597,1.6631432681846412,12.0,ok,
