dataset,label,file_path,n_rows,n_cols,columns_json,schema_type,parse_ok,warnings
FAPI_TEMPO,canonical:growth_rate_vs_time.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI_TEMPO\growth_rate_vs_time.csv,18.0,4.0,"[""time_ms"", ""n_steps"", ""median_um_per_s_raw"", ""median_um_per_s_clipped""]",growth_curve,True,
FAPI_TEMPO,canonical:metadata.yaml,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI_TEMPO\metadata.yaml,,,[],non_csv,True,skipped_non_csv
FAPI_TEMPO,canonical:rate_curve.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI_TEMPO\rate_curve.csv,11.0,4.0,"[""t_center_ms"", ""t_center_s"", ""dNdt_per_s"", ""count_in_bin""]",unknown,True,
FAPI_TEMPO,canonical:tau_fits.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI_TEMPO\tau_fits.csv,,,[],missing,False,file_missing
FAPI_TEMPO,canonical:tau_unavailable.flag,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI_TEMPO\tau_unavailable.flag,,,[],non_csv,True,skipped_non_csv
FAPI_TEMPO,canonical:tracks_source.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI_TEMPO\tracks_source.csv,,,[],csv_parse_failed,False,No columns to parse from file
FAPI_TEMPO,raw:idmap_kinetics_win60/growth_rate_vs_time.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI_TEMPO\idmap_kinetics_win60\growth_rate_vs_time.csv,18.0,4.0,"[""time_ms"", ""n_steps"", ""median_um_per_s_raw"", ""median_um_per_s_clipped""]",growth_curve,True,
FAPI_TEMPO,raw:out_FAPI_TEMPO_track_summary/track_summary.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI_TEMPO\out_FAPI_TEMPO_track_summary\track_summary.csv,977.0,7.0,"[""track_id"", ""n_points"", ""t_nuc_ms"", ""t_end_ms"", ""R0_px"", ""R_end_px"", ""R_max_px""]",track_summary_or_events,True,
FAPI_TEMPO,raw:sam_cuda_vith_clean_FAPI_TEMPO/frame_kinetics.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI_TEMPO\sam_cuda_vith_clean_FAPI_TEMPO\frame_kinetics.csv,9764.0,12.0,"[""frame_id"", ""time_ms"", ""annotation_id"", ""class"", ""area_px"", ""cx"", ""cy"", ""bbox_x"", ""bbox_y"", ""bbox_w"", ""bbox_h"", ""R_px""]",frame_kinetics,True,
FAPI_TEMPO,raw:stable_v15_out_overlap03_poly_pad400/kinetics_tau0p3_Nt.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI_TEMPO\stable_v15_out_overlap03_poly_pad400\kinetics_tau0p3_Nt.csv,26.0,3.0,"[""t_ms"", ""t_s"", ""N""]",unknown,True,
FAPI_TEMPO,raw:stable_v15_out_overlap03_poly_pad400/kinetics_tau0p3_events.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI_TEMPO\stable_v15_out_overlap03_poly_pad400\kinetics_tau0p3_events.csv,26.0,4.0,"[""track_id"", ""nuc_frame_i"", ""t_ms"", ""t_s""]",unknown,True,
FAPI_TEMPO,raw:stable_v15_out_overlap03_poly_pad400/kinetics_tau0p3_rate.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI_TEMPO\stable_v15_out_overlap03_poly_pad400\kinetics_tau0p3_rate.csv,11.0,4.0,"[""t_center_ms"", ""t_center_s"", ""dNdt_per_s"", ""count_in_bin""]",unknown,True,
