track_id_norm,time_ms_norm,frame_i_norm,R_px_norm
0,0.0,0,79.43661110412167
1,0.0,0,14.884343478431232
1,2.0,1,15.054455784347004
1,4.0,2,15.09668435477122
1,6.0,3,15.389040103942165
1,8.0,4,15.306079714651624
1,10.0,5,15.7569575497098
1,12.0,6,15.957691216057308
1,14.0,7,15.837556323903858
1,16.0,8,16.273715780512877
1,18.0,9,14.841510746523856
1,20.0,10,15.054455784347004
1,22.0,11,15.635280380893438
1,24.0,12,15.09668435477122
1,26.0,13,15.635280380893438
1,28.0,14,15.471555655790098
1,30.0,15,15.99753570059363
1,32.0,16,15.471555655790098
1,34.0,17,15.837556323903858
1,36.0,18,15.716503163191918
1,38.0,19,15.67594437773643
10,12.0,6,111.40708721656073
100,42.0,21,21.996159369293583
100,44.0,22,22.792141940852037
100,46.0,23,24.92671052968601
100,48.0,24,25.15551736167189
100,50.0,25,26.196872229566885
100,52.0,26,26.462837142006137
100,54.0,27,26.939683377854365
100,56.0,28,27.408234736913396
100,58.0,29,27.63953195770684
100,60.0,30,28.07374713484229
100,62.0,31,28.38944578214513
100,64.0,32,28.96661630188228
100,66.0,33,29.51094455619561
100,68.0,34,30.8400703617415
100,70.0,35,30.23550881198871
100,72.0,36,30.612159429303247
100,74.0,37,31.045810270703488
100,76.0,38,30.90193616185517
100,78.0,39,31.331576548121717
100,80.0,40,30.881327999401787
100,82.0,41,30.695231927842155
100,84.0,42,31.25019569237719
100,86.0,43,30.9431113115802
100,88.0,44,31.127725479762557
100,90.0,45,31.10726690017501
100,92.0,46,30.445334430207836
100,94.0,47,31.1686023528956
100,96.0,48,30.50800070803401
100,98.0,49,30.984231743425763
100,100.0,50,30.736683981742253
100,102.0,51,30.319613310508885
100,104.0,52,30.612159429303247
100,106.0,53,30.653723819701742
100,108.0,54,30.695231927842155
100,110.0,55,30.695231927842155
100,112.0,56,30.2144461073691
100,114.0,57,30.50800070803401
100,116.0,58,30.2144461073691
100,118.0,59,30.361578193306386
100,120.0,60,30.50800070803401
100,122.0,61,29.35954992478095
100,124.0,62,30.29860907292697
100,126.0,63,30.087760240780646
100,128.0,64,29.98177977677484
100,130.0,65,30.02421685360828
100,132.0,66,29.53250900522315
100,134.0,67,29.554057719513263
100,136.0,68,29.854106607209232
100,138.0,69,29.44615645486938
100,140.0,70,29.51094455619561
100,142.0,71,30.045412914740087
100,144.0,72,148.45799580812638
100,146.0,73,148.88192379968245
100,148.0,74,148.9375014842669
100,150.0,75,148.6251420911359
100,152.0,76,148.6251420911359
100,154.0,77,147.68410002878895
100,156.0,78,148.28636800992956
100,158.0,79,146.3112315088363
100,160.0,80,148.2734879165593
100,162.0,81,147.10966161970313
100,164.0,82,145.40337905402123
100,166.0,83,146.940791476087
100,168.0,84,141.02482649790156
100,170.0,85,146.95812042142424
100,172.0,86,143.53941031265387
100,176.0,88,146.68061162585457
100,180.0,90,145.18429895512332
101,42.0,21,95.9918464519168
101,44.0,22,103.42381454636111
101,46.0,23,104.7206388387884
101,48.0,24,139.58647768706751
101,50.0,25,138.73558374750672
101,52.0,26,142.01000369361392
101,54.0,27,143.84068479378982
101,56.0,28,143.72999552399637
101,58.0,29,144.37963092626356
101,60.0,30,141.89339984966577
101,62.0,31,144.14132957270925
101,64.0,32,145.29826183149518
101,66.0,33,146.65022724197067
101,68.0,34,146.9364589204264
101,70.0,35,143.49948835101046
101,72.0,36,145.3990006870152
101,74.0,37,148.0457548296171
101,76.0,38,147.81767088951216
101,78.0,39,147.92960506728613
101,80.0,40,146.13272612354206
101,82.0,41,146.28077040000557
101,84.0,42,146.49821079472576
101,86.0,43,146.09787037441808
101,88.0,44,146.1893489908882
101,90.0,45,146.51124695630062
101,92.0,46,146.9191274201396
101,94.0,47,146.667590517812
101,96.0,48,146.15886248040712
101,98.0,49,146.66324989156567
101,100.0,50,146.33733598402256
101,102.0,51,146.559036294874
101,104.0,52,146.7587140129676
101,106.0,53,146.46778857224123
101,108.0,54,145.96272572836352
101,110.0,55,146.5329713150381
101,112.0,56,146.45474854236906
101,114.0,57,146.25900858099465
101,116.0,58,146.48951937584624
101,118.0,59,146.5155920857396
101,120.0,60,146.18499416436345
101,122.0,61,145.47779113180087
101,124.0,62,146.25465582862904
101,126.0,63,146.45909534799566
101,128.0,64,146.31993351803357
101,130.0,65,146.0368527951557
101,132.0,66,146.45040160772456
101,134.0,67,146.0804393810524
101,136.0,68,146.24159679419714
101,138.0,69,146.2372435235696
101,140.0,70,146.3982283244131
101,142.0,71,146.4069251627684
101,144.0,72,149.38564020873358
101,146.0,73,149.47936570161573
101,148.0,74,149.21081287641005
101,150.0,75,149.49640038722106
101,152.0,76,147.98984224935688
101,154.0,77,147.88225863967304
101,156.0,78,149.3472810086296
101,158.0,79,149.4623290745144
101,160.0,80,149.3813785618156
101,162.0,81,148.09734770618925
101,164.0,82,147.60217427247937
101,166.0,83,149.19801258932657
101,168.0,84,147.62805047561855
101,170.0,85,147.61511294104534
101,172.0,86,148.98451256210524
101,174.0,87,147.12264360219254
101,176.0,88,148.99305843715527
101,178.0,89,148.81776991046272
101,180.0,90,148.81776991046272
101,182.0,91,149.08703073185723
101,184.0,92,146.65890913685095
101,186.0,93,148.80921396887342
101,188.0,94,148.869095233565
101,190.0,95,148.72790797521486
101,192.0,96,148.4322642894639
101,194.0,97,145.74448643024792
101,196.0,98,148.37649735728263
101,198.0,99,148.45799580812638
101,200.0,100,148.50944547032182
101,202.0,101,148.3636250884343
101,204.0,102,144.03529130707773
101,206.0,103,147.95972672378247
101,208.0,104,148.24772437266498
101,210.0,105,148.24772437266498
101,212.0,106,148.36791596880448
101,214.0,107,144.16782695267622
101,216.0,108,144.81110213581047
101,218.0,109,148.8306029006052
101,220.0,110,149.31743926232272
101,222.0,111,150.0701871368046
101,224.0,112,151.19017675308928
101,226.0,113,152.21830781837804
101,228.0,114,153.15643026871547
101,230.0,115,152.53583002196686
101,232.0,116,153.2146125089973
101,234.0,117,153.71241404535425
101,236.0,118,154.18383683042208
101,238.0,119,154.22924876540867
101,240.0,120,155.0690234762194
101,242.0,121,155.3028547577867
101,244.0,122,156.35280380893437
101,246.0,123,156.74725992742086
101,248.0,124,157.37552422212414
101,250.0,125,157.79566704076777
