track_id,tau_ms,r0_px,A_px,rmse_px
0,61.0955397660129,43.659910700746366,75.37714016472526,0.23221844590307889
1,140.00000000000006,34.40401169393016,177.89810453027036,0.7030773400990182
2,68.14628974177155,16.94220717484329,7.686628609568395,0.08616007887632013
3,72.6282802477481,46.620618777254265,137.5519757892321,1.6101551790072948
4,37.26369038622446,80.25833782503071,82.63766388263568,1.2940455447338026
5,319.9999999999999,90.27881693166566,809.3765152205956,1.5464897021017243
6,55.36573260784128,34.02373721657102,160.1395484385366,1.0026397451883446
7,179.99999999999997,30.90169938098829,286.54730960191756,0.6756089171237533
8,17.026352908281062,28.16322954038564,40.12770537381522,0.38986833299288687
9,140.00000000000006,35.45645353234999,235.7146878470604,0.8567582098273451
10,13.974612698215568,82.45695552857794,10.890243105926432,0.3806454139671256
11,179.99999999999997,188.53090822812914,262.01241593093044,0.7272326332872886
12,179.99999999999997,97.66229231972058,-8.84442584710332,0.24404858824810027
13,7.000084842916479,160.45009868689542,15.609137921674465,0.3996960326266414
14,16.888347017746614,29.777162078275186,29.05528362771713,0.2852166301189604
15,81.59330736004856,129.38082036928148,33.49808472596911,0.3939459842536472
16,10.097600850647437,107.37258367326234,7.033064856462366,0.38160469005318826
17,37.72255673129287,26.166779521632883,56.335283461970235,0.22950233292969469
18,44.23172817955658,31.136820516822276,57.55699925511188,0.21922151911187174
19,140.00000000000006,49.89183884179789,201.32533199478496,0.5338956189161913
20,44.300019315863764,27.606325615337543,75.6689763729395,0.4388683811917332
21,219.99999999999997,56.2679144245193,309.41370186625585,3.278618604613104
22,2.023905576678646,21.09342582656596,-0.7837203751166676,0.270626191803581
23,11.858260719546747,118.92895306956963,9.468020350728345,0.7720041318818747
24,28.24594368607305,75.88117468609194,45.22003547288872,0.3368870763411144
25,100.0,74.09256740796297,44.64070402932178,0.35261505472238763
26,140.00000000000006,68.54564674699682,78.03969169574029,0.6233912574605195
27,2.090021752150798,18.83215440326613,1.4813615984554456,0.3050485812001398
28,119.99999999999996,26.27015310766214,54.2027750445172,0.2508092695523628
29,44.39875102424975,99.52882193757371,42.03940844968947,0.15531255739259855
30,41.94092802646466,18.563343559038795,20.68871075551214,0.26893018781884725
31,94.31143105664036,17.751185683591927,244.08961506204292,1.7492794090209465
32,54.12470746942737,52.17754106946285,10.16160882020798,0.36837664338834025
33,23.135896877903253,29.04613991453803,-0.9415179161098189,0.1870130211665557
34,0.4,136.99825067609453,-4.387842688427462,4.807259062099644
35,6.13642461729479,208.8254517825178,1.6584576980672943,0.5244387786870581
36,119.99999999999996,131.14789747955683,2.868984424692481,0.13869948559482098
37,159.99999999999991,60.3206644686437,1.4539195082518677,0.3013299689241644
38,140.00000000000006,20.24266916272858,-1.8129847847849772,0.1318268160193158
39,0.4,95.872384645765,-2.046831361083086,0.40345089720371224
40,119.99999999999996,251.2145883829222,-38.544822459462985,1.5931336800314417
41,4.873450710076642,81.00648218645125,-2.268056771217053,0.13167015360785175
42,7.880470503528836,50.505908629730094,0.45232162498962064,0.42827192499077965
