time_ms,n_steps,median_um_per_s_raw,median_um_per_s_clipped
30.0,29,8.4112040331914,8.4112040331914
50.0,191,22.720275570428548,22.720275570428548
70.0,280,4.755518369916167,4.755518369916167
90.0,350,-0.7198762973434886,0.0
110.0,313,-1.0793100422395896,0.0
130.0,295,0.038920569116345644,0.038920569116345644
150.0,327,-0.6645980303137122,0.0
170.0,295,-0.6060253034962123,0.0
190.0,326,-0.5037248110566658,0.0
210.0,305,0.11623026652041919,0.11623026652041919
230.0,429,5.2750159430897945,5.2750159430897945
250.0,758,3.5850679607475504,3.5850679607475504
270.0,1062,-5.852063316251154,0.0
290.0,890,0.24046920379588999,0.24046920379588999
310.0,870,-2.4021895495774936,0.0
330.0,915,-0.5155333145552646,0.0
350.0,857,-0.9370703734316033,0.0
370.0,279,1.9935603492194551,1.9935603492194551
