dataset,t_center_s,dNdt_per_s
FAPI-TEMPO,0.05,450
FAPI-TEMPO,0.07,150
FAPI-TEMPO,0.09,150
FAPI-TEMPO,0.11,0
FAPI-TEMPO,0.13,0
FAPI-TEMPO,0.15,200
FAPI-TEMPO,0.17,0
FAPI-TEMPO,0.19,0
FAPI-TEMPO,0.21,0
FAPI-TEMPO,0.23,150
FAPI-TEMPO,0.25,100
