label,json_file,grain_index,area_px,perimeter_px,circularity,nuc_x,nuc_y,centroid_x,centroid_y,R_mean_px,R_mean_um,A_polar,A_std
FAPI,FAPI_0.json,0,3789.0,276.0,0.6250522245563813,1506.562681446292,207.13222486144102,1506.562681446292,207.13222486144102,34.38631615754178,15.62914912575644,0.4619496190516875,0.1113988939243718
FAPI,FAPI_0.json,1,13705.0,550.0,0.5693292868422891,1370.2907697920466,196.7761400948559,1370.2907697920466,196.7761400948559,64.9478403095378,29.519867058249833,0.7775256861068925,0.23662536420355426
FAPI,FAPI_0.json,2,47676.0,1034.0,0.5603618979926109,909.1320580585619,585.1418743183153,909.1320580585619,585.1418743183153,123.53683188517523,56.14953225030008,0.2926493804108265,0.08019041726031977
FAPI,FAPI_0.json,3,10902.0,555.0,0.44476445885153376,379.899926618969,695.411117226197,379.899926618969,695.411117226197,58.07822693178576,26.397514218088737,0.6768725185316254,0.22956450268515505
FAPI,FAPI_0.json,4,30617.0,813.0,0.5820917003669382,292.0056504556292,342.9875559329784,292.0056504556292,342.9875559329784,98.90283453189483,44.95297323438273,0.31125707923355633,0.08650509272726616
FAPI,FAPI_0.json,5,3659.0,292.0,0.5392703846634008,1755.580759770429,383.63077343536486,1755.580759770429,383.63077343536486,33.665323102294764,15.301445863579026,0.6272122456177542,0.15894194231992714
FAPI,FAPI_0.json,6,14149.0,578.0,0.5322062050938324,484.8932786769383,416.0841755601103,484.8932786769383,416.0841755601103,65.32987812157918,29.693509559200404,0.9701591662131201,0.2920787069537672
FAPI,FAPI_0.json,7,48033.0,1064.0,0.5331707555892028,676.322611537901,745.6993733474902,676.322611537901,745.6993733474902,123.58126172936812,56.16972634894512,0.5188210228189931,0.13671562376600505
FAPI,FAPI_0.json,8,13468.0,521.0,0.6235015323189544,304.20426195426194,505.002673002673,304.20426195426194,505.002673002673,65.25311921260658,29.658621366188775,0.5788366266845322,0.15404822250322056
FAPI,FAPI_0.json,9,20405.0,678.0,0.5578110014401174,1556.5001715265867,105.29321244792943,1556.5001715265867,105.29321244792943,80.54891169919796,36.610811902514364,0.427081383042531,0.11487083974216049
FAPI,FAPI_0.json,10,11698.0,504.0,0.5787092287366685,1829.0959138314242,206.19627286715678,1829.0959138314242,206.19627286715678,60.48374746974324,27.490863067688075,0.638569094625227,0.1858046349668487
FAPI,FAPI_0.json,11,22462.0,751.0,0.5004704189172283,1236.9764491140593,550.2797168551331,1236.9764491140593,550.2797168551331,84.64160604907048,38.47100913990494,0.5698972099157814,0.14602981839774115
FAPI,FAPI_0.json,12,47222.0,1026.0,0.5637149067246416,1097.642666553725,711.9332302740248,1097.642666553725,711.9332302740248,123.04583097644633,55.926364220661554,0.36790656478530526,0.1043092337430227
FAPI,FAPI_0.json,13,3179.0,276.0,0.524423600386576,1776.3636363636363,873.4183705567789,1776.3636363636363,873.4183705567789,31.27278701086023,14.213998659567222,0.7702297549999335,0.19125426134907994
FAPI,FAPI_0.json,14,21565.0,717.0,0.5271339832181889,1506.2306051472292,366.6217945745421,1506.2306051472292,366.6217945745421,82.58869090878436,37.53792527238464,0.5912667768374493,0.1615173536905739
FAPI,FAPI_0.json,15,26177.0,764.0,0.5635637105138293,344.05657638384844,811.854719792184,344.05657638384844,811.854719792184,91.07728091225668,41.39612975185973,0.5665976716244622,0.15237270727075838
FAPI,FAPI_0.json,16,10634.0,460.0,0.6315254494947801,1420.1236599586232,102.53686289260861,1420.1236599586232,102.53686289260861,58.06118583419844,26.3897687575329,0.5353013544168121,0.12526663119797857
FAPI,FAPI_0.json,17,23593.0,722.0,0.5687463683991375,1575.4518713177638,534.2260840079684,1575.4518713177638,534.2260840079684,86.06598671354757,39.11841369801356,0.6020605980933961,0.1896556601796137
FAPI,FAPI_0.json,18,18807.0,658.0,0.5458553878480727,634.0096240761419,276.6195565480938,634.0096240761419,276.6195565480938,77.12909945143204,35.05645070378795,0.6335210027608585,0.16269325877673918
FAPI,FAPI_0.json,19,4765.0,354.0,0.47782211351640214,1852.18740818468,548.9695697796433,1852.18740818468,548.9695697796433,37.60430022572221,17.09177608048679,1.1054294472366875,0.305800659668362
FAPI,FAPI_0.json,20,30166.0,858.0,0.5149357153470677,1362.5083206258703,336.9084399655241,1362.5083206258703,336.9084399655241,97.80298598616776,44.45307388901058,0.8163957712207448,0.1804778052267566
FAPI,FAPI_0.json,21,31859.0,882.0,0.5146415349094113,157.9500612071942,579.8476411689005,157.9500612071942,579.8476411689005,98.55905048191337,44.796717700652394,0.9309854231004098,0.284713832205456
FAPI,FAPI_0.json,22,16658.0,586.0,0.6095895167503265,508.51836955216714,786.6679073118021,508.51836955216714,786.6679073118021,72.2793765818871,32.85217148994477,0.6971008975395957,0.1833665194236866
FAPI,FAPI_0.json,23,46982.0,1056.0,0.52943607255422,1538.908667149121,826.4289302285982,1538.908667149121,826.4289302285982,122.33924671115882,55.605209991709074,0.6133870768941228,0.17503780385146075
FAPI,FAPI_0.json,24,21813.0,772.0,0.4599288608603866,1055.6101865859807,442.0967771512401,1055.6101865859807,442.0967771512401,81.77114176709034,37.16633567277098,0.9988958290463312,0.26735310521092326
FAPI,FAPI_0.json,25,7829.0,422.0,0.5524478085612293,229.19210627155448,211.1425469408609,229.19210627155448,211.1425469408609,49.14401854449626,22.336768816755413,0.8627207904740312,0.22671945522175366
FAPI,FAPI_0.json,26,43830.0,1003.0,0.5474941317894398,1309.9565822496008,756.2333105179101,1309.9565822496008,756.2333105179101,118.2127066603096,53.72962932372921,0.5290859981213137,0.1414136312310751
FAPI,FAPI_0.json,27,6670.0,424.0,0.46623404680144,1583.3062968515742,260.53313343328335,1583.3062968515742,260.53313343328335,45.7008218361779,20.77177899414487,0.699958930400621,0.17371147382670704
FAPI,FAPI_0.json,28,7278.0,396.0,0.58321883820086,126.8330585325639,411.3135476779335,126.8330585325639,411.3135476779335,47.912629535373064,21.77708215630508,0.4592146242631905,0.11458740654026094
FAPI,FAPI_0.json,29,10068.0,464.0,0.5876477934813845,1155.0744934445768,221.6104489471593,1155.0744934445768,221.6104489471593,55.54321443040591,25.24530913051256,0.764837731911305,0.23807112737228645
FAPI,FAPI_0.json,30,26847.0,822.0,0.49930048940584754,1177.900100569896,390.2766417104332,1177.900100569896,390.2766417104332,92.42007332632568,42.00645110144158,0.6974259203159242,0.1683770440732262
FAPI,FAPI_0.json,31,37713.0,938.0,0.5386358661073184,1731.4737623631108,518.3237345212526,1731.4737623631108,518.3237345212526,109.57507342091178,49.803682229727094,0.5285613160530274,0.15560507928459677
FAPI,FAPI_0.json,32,13022.0,578.0,0.4898147715550135,269.8426508984795,638.4064659806481,269.8426508984795,638.4064659806481,63.88219666433724,29.035514405600207,0.6668708282482708,0.2019103035508126
FAPI,FAPI_0.json,33,14810.0,626.0,0.47491540384881786,740.2854152599594,121.60762997974342,740.2854152599594,121.60762997974342,66.98307513833589,30.444914931929734,1.0292455861348804,0.2936633342699471
FAPI,FAPI_0.json,34,14270.0,534.0,0.6288561652811281,1048.8493342676945,218.01471618780658,1048.8493342676945,218.01471618780658,67.29413727427543,30.586297814809704,0.4331983564726743,0.13147982848699905
FAPI,FAPI_0.json,35,28717.0,829.0,0.5250974038693157,1419.0486123202284,545.9292405195529,1419.0486123202284,545.9292405195529,95.34773435475671,43.337121435343526,0.8148746339805153,0.18602444631753354
FAPI,FAPI_0.json,36,25173.0,768.0,0.5363180329645173,1696.077622849879,749.1094426568148,1696.077622849879,749.1094426568148,88.91122636150638,40.411622152002316,0.6606766845525093,0.19465488268442704
