metric,n_pairs,delta_mean(TEMPO-FAPI),delta_median(TEMPO-FAPI),t_stat,t_p,wilcoxon_W,wilcoxon_p,cohen_dz,rank_biserial_r
"Full entropy (raw_reconstructed, mask)",1445,0.025940410895829637,0.01997721711137146,6.771347666856646,1.8507129378719803e-11,415123.0,1.3811279535940268e-11,0.17813169038089482,0.20530469449190464
Inner entropy (norm01),1445,-0.07257019226991672,-0.07113091781968323,-20.37840428252454,2.4390607481679435e-81,235203.0,5.119836361717712e-73,-0.5360882029258552,-0.5491129024528175
Middle entropy (norm01),1445,-0.03246068361036721,-0.038662559591165824,-13.283179090384614,4.499259323751375e-38,295087.0,1.5049289163000776e-46,-0.3494363694518097,-0.4350969384580779
Outer entropy (norm01),1445,-0.004979251639529684,-0.005379544075853948,-2.4555914196229796,0.014182434642004681,468904.0,0.0007518725609850652,-0.06459846281461402,-0.10234844242798413
