theta_deg,r_norm_mean,r_norm_std
0.0,0.910874175173127,0.34564786774425327
5.0,0.9762445618310676,0.215537277106161
10.0,0.9926496441431721,0.18763022108374652
14.999999999999998,1.0008905882912054,0.18355174499571952
20.0,1.0053284619938119,0.18238186532307768
25.0,1.0069080504101917,0.18843743836607926
29.999999999999996,1.0077122883788292,0.18259349240849346
35.0,1.0046785901399524,0.18533938880271417
40.0,0.9774722570471438,0.24673755180391246
45.0,0.9740807723569126,0.24145048091406798
50.0,0.9864308635014841,0.18654473663967147
55.0,0.9867598744745446,0.1774662880105475
59.99999999999999,0.9816268735815301,0.18794478004196818
65.0,0.9848769197445426,0.1803066594681396
70.0,0.9862233774314828,0.1814234108022832
75.0,0.9839269772924615,0.19301892083256803
80.0,0.9764537611054335,0.2214528237455783
84.99999999999999,0.9063756185873721,0.35863256854023523
90.0,0.918135260851288,0.34733695546238547
95.0,0.9766899646993256,0.2263958145273502
100.0,0.9870120810114531,0.19635088154590005
105.0,0.990845587240457,0.18826277404153802
110.0,0.988646677841374,0.1859430057332464
115.0,0.986836082734913,0.19144356833042156
119.99999999999999,0.9899886866278882,0.1810315100533958
124.99999999999999,0.9902926074220743,0.18698662122081453
130.0,0.9704661832773327,0.2519946762073169
135.0,0.9801279805140887,0.2389394358530223
140.0,1.0022653903698233,0.18319599927307142
145.0,1.008189628013461,0.1789220026973872
150.0,1.0079358451388363,0.18534437494045947
155.0,1.0063308931970192,0.1840003275138212
160.0,1.0033468934890832,0.18568987860578026
165.0,0.9953419032607972,0.19105210362627706
169.99999999999997,0.9781970535096223,0.21631372738268556
175.0,0.9057151686603984,0.3513017411611821
180.0,0.909656558021596,0.34742487341752176
185.0,0.9790235705370585,0.2152110676405253
190.0,0.9943536085264761,0.18748810649777056
195.0,1.002363957837123,0.18459382503003574
200.0,1.0077806700447107,0.1806313175178754
205.0,1.007157619223849,0.18742611236081816
210.0,1.0074047266023018,0.1815276517632773
214.99999999999997,1.0036224291416427,0.18591109335998063
220.0,0.9770902722836139,0.24549232245594102
225.0,0.9710650660757308,0.24468667610038955
230.0,0.9862890271731047,0.18739160862138413
235.0,0.9842567459038394,0.18175247211593337
239.99999999999997,0.9824841690235352,0.18543753056016407
244.99999999999997,0.9822689104056287,0.1821333569063911
249.99999999999997,0.9839532538150746,0.1839804095764609
255.00000000000003,0.9832340432865029,0.19213084775365025
260.0,0.9730160493664453,0.2258752741055513
265.0,0.9101477494540151,0.35261338855426566
270.0,0.9112779554872064,0.35345410956036516
275.0,0.9770245181679295,0.22876635416105767
280.0,0.9852622586886364,0.19920030906301142
285.0,0.989471745480429,0.19171788085965702
290.0,0.9893087126219994,0.19096738352275947
294.99999999999994,0.9876243092960593,0.194594860813329
300.0,0.9920578895876482,0.18532664622965603
305.0,0.9922530518752938,0.1912158292065571
310.0,0.9716790283145414,0.25538147445783127
315.0,0.9813708934438945,0.24416099513160364
320.0,1.0034598962988168,0.18875280961940422
325.0,1.0083316627533838,0.18282110218351796
330.0,1.0043304966758564,0.19121107771270254
335.0,1.0054438309792015,0.1866209421667772
339.99999999999994,0.9995011620384433,0.19058594924052347
345.0,0.9917268861176689,0.19119890029806866
350.0,0.9763398807593147,0.22215714260783845
355.0,0.9003439623367789,0.35729426145530957
