group,sample_id,pair_id,json_path,heatmap_path,heatmap_norm01_path,heatmap_min_before,heatmap_max_before,n_grains_used,entropy_inner_raw,entropy_inner_norm01,entropy_middle_raw,entropy_middle_norm01,entropy_outer_raw,entropy_outer_norm01
FAPI-TEMPO,FAPI_TEMPO_1016,1016,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1016.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1016_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1016_heatmap_norm01.png,18.0,221.0,312,0.6931471805599453,0.19999999999999998,1.5207863514413482,0.43880618549521067,1.8716472999181282,0.5400432555770204
FAPI-TEMPO,FAPI_TEMPO_1017,1017,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1017.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1017_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1017_heatmap_norm01.png,20.0,221.0,277,0.6134538911544732,0.1770053773165193,1.8087680239071868,0.5219001316418856,1.764752165197256,0.5091998394256284
FAPI-TEMPO,FAPI_TEMPO_1018,1018,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1018.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1018_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1018_heatmap_norm01.png,19.0,221.0,291,0.6650635003886458,0.1918967627773909,1.4360723472023904,0.41436289073333243,1.4469189829363256,0.4174925682500679
FAPI-TEMPO,FAPI_TEMPO_1019,1019,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1019.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1019_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1019_heatmap_norm01.png,18.0,210.0,268,0.5597467061479693,0.16150875942272142,1.7661027430846574,0.509589533829726,2.0127846012525374,0.5807668725209412
FAPI-TEMPO,FAPI_TEMPO_102,102,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_102.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_102_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_102_heatmap_norm01.png,18.0,213.0,376,0.710974207692564,0.20514379272760438,1.7519190374463485,0.5054969814725626,2.0957278879908525,0.6046992462114209
FAPI-TEMPO,FAPI_TEMPO_1020,1020,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1020.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1020_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1020_heatmap_norm01.png,18.0,215.0,273,0.5468519922342627,0.15778813145932416,1.4294628930725515,0.41245580539411214,1.4644831649290202,0.42256051990169424
FAPI-TEMPO,FAPI_TEMPO_1021,1021,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1021.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1021_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1021_heatmap_norm01.png,19.0,220.0,240,0.631730943968791,0.1822790200079757,1.1246589103745532,0.3245079665377907,1.2447240805772493,0.35915145166477436
FAPI-TEMPO,FAPI_TEMPO_1022,1022,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1022.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1022_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1022_heatmap_norm01.png,18.0,210.0,272,0.488167084813654,0.14085524647717612,1.4852009805353428,0.428538417868353,2.1367240143016892,0.6165282278362811
FAPI-TEMPO,FAPI_TEMPO_1023,1023,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1023.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1023_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1023_heatmap_norm01.png,19.0,208.0,302,0.6931471805599453,0.19999999999999998,1.7292192803018092,0.4989472160602005,2.093211881720597,0.6039732802576323
FAPI-TEMPO,FAPI_TEMPO_1024,1024,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1024.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1024_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1024_heatmap_norm01.png,18.0,221.0,332,0.6931471805599453,0.19999999999999998,1.285541002000893,0.3709287256892235,2.0285500238050256,0.5853158119077397
