label,json_file,grain_index,area_px,perimeter_px,circularity,nuc_x,nuc_y,centroid_x,centroid_y,R_mean_px,R_mean_um,A_polar,A_std,file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI-TEMPO,FAPI_TEMPO_38.json,17,5628.0,385.0,0.4771363387931416,1036.8750888415068,360.4159559346127,1036.8750888415068,360.4159559346127,40.70610246804324,18.50159647478944,1.0073486038419208,0.3183089051912561,FAPI_TEMPO_38_17,1162.8099,15.5,148.0291,8.2028,0.333156,0.074437,0,0.0,0.0,5.930441,0.019033,0.482699,0.060337
FAPI-TEMPO,FAPI_TEMPO_38.json,18,4977.0,338.0,0.5474495513783271,1790.0078360458108,430.4657424151095,1790.0078360458108,430.4657424151095,39.54687120288392,17.97470670179348,0.4076132067206442,0.1092071704789291,FAPI_TEMPO_38_18,1028.3058,14.576,126.2109,7.5742,0.188781,0.098043,0,0.0,0.0,5.358464,0.020115,0.329456,0.041182
FAPI-TEMPO,FAPI_TEMPO_38.json,19,10246.0,502.0,0.5109245619701436,328.7635174702323,690.0406988092915,328.7635174702323,690.0406988092915,57.01316195206159,25.913424578463907,0.4521897568093859,0.1215046086367227,FAPI_TEMPO_38_19,2116.9421,20.9137,185.5792,9.1845,0.227568,0.076836,0,0.0,0.0,5.611792,0.014036,0.340367,0.042546
FAPI-TEMPO,FAPI_TEMPO_38.json,20,3979.0,322.0,0.4822498039671998,1558.9215883387783,241.4651922593617,1558.9215883387783,241.4651922593617,35.36813201232063,16.075400661921798,0.4339820585254491,0.1195265615615229,FAPI_TEMPO_38_20,822.1074,13.0329,116.2755,7.27,0.235879,0.096316,0,0.0,0.0,5.385896,0.022447,0.136647,0.017081
FAPI-TEMPO,FAPI_TEMPO_38.json,21,7839.0,434.0,0.5229872116946715,1473.7768848067356,915.2833269549689,1473.7768848067356,915.2833269549689,49.40658888706477,22.456111377941752,0.7637705611650695,0.1915424312471348,FAPI_TEMPO_38_21,1619.6281,18.293,162.1255,8.5845,0.225677,0.082465,1,18.1818,0.0,5.615139,0.016079,0.507039,0.06338
FAPI-TEMPO,FAPI_TEMPO_38.json,22,6172.0,362.0,0.591859523761674,1797.053305249514,900.7671743357096,1797.053305249514,900.7671743357096,43.972839772844274,19.986382581492208,0.6058442672982156,0.1503573352365351,FAPI_TEMPO_38_22,1275.2066,16.2318,139.7827,7.971,0.179868,0.094116,0,0.0,0.0,5.537069,0.018093,0.368584,0.046073
FAPI-TEMPO,FAPI_TEMPO_38.json,23,22255.0,772.0,0.4692484664396416,619.0031004268703,652.934756234554,619.0031004268703,652.934756234554,83.69042549632215,38.03868185493748,0.8404032098395661,0.19528183906431,FAPI_TEMPO_38_23,4598.1405,30.8225,288.3364,11.4482,0.304987,0.055386,0,0.0,0.0,5.744895,0.009555,0.189461,0.023683
FAPI-TEMPO,FAPI_TEMPO_38.json,24,11233.0,506.0,0.5513210685649541,1561.7288346835217,395.8436748864952,1561.7288346835217,395.8436748864952,59.44144626306172,27.01711993921374,0.6562696431803745,0.1538498085861979,FAPI_TEMPO_38_24,2320.8678,21.8979,192.7227,9.3596,0.214774,0.076628,0,0.0,0.0,5.49957,0.013398,0.22372,0.027965
FAPI-TEMPO,FAPI_TEMPO_38.json,25,5703.0,322.0,0.6911964393126265,1874.495002630195,138.74083815535684,1874.495002630195,138.74083815535684,42.24833554372695,19.20256690198212,0.558250480062884,0.1505386849793718,FAPI_TEMPO_38_25,1178.3058,15.6029,137.0443,7.8926,0.211601,0.091408,0,0.0,0.0,5.206211,0.018736,0.366683,0.045835
FAPI-TEMPO,FAPI_TEMPO_38.json,26,5100.0,362.0,0.4890608508076049,822.5547058823529,614.6176470588235,822.5547058823529,614.6176470588235,39.89278372557378,18.13192966155507,0.6867358364077042,0.1606771706343984,FAPI_TEMPO_38_26,1053.719,14.755,131.7947,7.7399,0.237677,0.090172,0,0.0,0.0,5.690862,0.019937,0.5462,0.068275
FAPI-TEMPO,FAPI_TEMPO_38.json,27,20585.0,696.0,0.53400122848251,456.10954578576633,611.9548214719456,456.10954578576633,611.9548214719456,81.13981993231674,36.87938946263271,0.3682328390031036,0.0863867532685602,FAPI_TEMPO_38_27,4253.0992,29.6435,256.1874,10.7911,0.185671,0.068837,0,0.0,0.0,5.740062,0.009933,0.504047,0.063006
