theta_deg,r_norm_mean,r_norm_std
0.0,0.9603067104897048,0.28082891405567634
5.0,0.9873619080023895,0.21268443997760766
10.0,0.9949462816224639,0.19790069997035387
14.999999999999998,0.9991183183231925,0.19642553756752684
20.0,1.0006087182568895,0.1989973324524109
25.0,1.003374490633681,0.20033860280995217
29.999999999999996,1.0024571192076452,0.20008782479891365
35.0,1.0003963237931754,0.20023102112782723
40.0,0.9840185303310806,0.2310867276347042
45.0,0.9868859554823358,0.22257616398043775
50.0,0.9931168523772557,0.1957482452743029
55.0,0.9907841522516488,0.19484550465245484
59.99999999999999,0.990003452948077,0.19923839980116156
65.0,0.989183180423255,0.19852968875506546
70.0,0.9909791809957348,0.20229227376073816
75.0,0.990855886062654,0.20372866070446916
80.0,0.9875042455768992,0.21723921783074063
84.99999999999999,0.9474845057695789,0.2990518520711921
90.0,0.9562408585871233,0.2875510880543011
95.0,0.9821385519615344,0.2198742123191026
100.0,0.988693478172543,0.20121920211018232
105.0,0.9892148898370227,0.20064239362441036
110.0,0.9898459234214066,0.19991185153850174
115.0,0.9881383564710405,0.20300288376261108
119.99999999999999,0.9913240762649927,0.19499576207053998
124.99999999999999,0.9919917052691312,0.1983741431804316
130.0,0.9832338675570186,0.23060844129089217
135.0,0.9869506285919022,0.22652542963732622
140.0,1.0004057839851224,0.20001832737028868
145.0,1.0023288499338876,0.20017101124594702
150.0,1.0032495089545737,0.2023653239352435
155.0,1.0036154736333114,0.20272292517145746
160.0,1.0031462181139275,0.2008234102935751
165.0,0.9985555479246864,0.2030003449300854
169.99999999999997,0.9906235402903535,0.2158917077374705
175.0,0.9595467485111994,0.28764349140724443
180.0,0.9663564604846774,0.2780122556190712
185.0,0.993723642910873,0.21462203708923222
190.0,1.0018242515081308,0.2019243618115728
195.0,1.0051189913155114,0.1996334906232244
200.0,1.0064881468808904,0.20102000081586108
205.0,1.0053706761720274,0.19752226580428758
210.0,1.0040171382799679,0.1943605210813675
214.99999999999997,1.00016861066408,0.19488124704407353
220.0,0.9879024559099737,0.22071936305527182
225.0,0.9829016915614965,0.2249996572429124
230.0,0.9913698419551129,0.1925508957628123
235.0,0.9902703668285922,0.19272526378630456
239.99999999999997,0.9894656720176224,0.19326279316686676
244.99999999999997,0.9903771559412334,0.19421396744600236
249.99999999999997,0.989169935630533,0.19860636114451075
255.00000000000003,0.9876344890883707,0.19931496330620174
260.0,0.9807978833988198,0.21721568145209844
265.0,0.9494026997274339,0.29153562485813495
270.0,0.9519412148325673,0.28675956273851155
275.0,0.9833337882534371,0.21027458466979326
280.0,0.9891388049849187,0.19496907879571002
285.0,0.9898430798250606,0.194097950761508
290.0,0.9928057234877933,0.19285308657641143
294.99999999999994,0.9936595641319227,0.19669686914441945
300.0,0.9957986417621597,0.19433235948082495
305.0,0.9987614608854545,0.1950961130040287
310.0,0.9894630096234436,0.22919539944744066
315.0,0.9956097925762849,0.22347439711391173
320.0,1.0088604915652557,0.1944132641350906
325.0,1.009537423325847,0.19444471423782236
330.0,1.0076604840212746,0.1989942621497588
335.0,1.0074488168374596,0.1932985416098163
339.99999999999994,1.0039684172607712,0.1956432922279093
345.0,0.9988141803669452,0.19925943349505906
350.0,0.989327084611377,0.21562780678339882
355.0,0.9560726331655449,0.2855385004382833
