sample,mean_veff,std_veff,CV_veff,n_json_files,n_entries_seen,n_entries_matched_to_veff,n_entries_used
FAPI,0.036021405097566475,0.016523888064817808,0.45872413971808457,1544,426451,0,0
FAPI-TEMPO,0.02936594844533858,0.013125430723961226,0.4469608992330945,1544,527202,0,0
