track_id,tau_ms,tau_qc_pass,fit_status,tau_source_status,fit_r2,fit_nrmse_range,fit_window_over_tau,n_points,fit_t_start_ms,fit_t_end_ms,hit_tau_lower_bound,hit_tau_upper_bound
0,,False,fit_exception,recovered_from_tracks,,,,,,,False,False
1,4.748012764122506,False,ok,recovered_from_tracks,0.2722780485744718,0.2326214754112869,8.003348324406389,,,,False,False
2,2.915423064917697,False,ok,recovered_from_tracks,0.035793212443398,0.3076525634690034,125.53924142406832,,,,False,False
3,,False,fit_exception,recovered_from_tracks,,,,,,,False,False
4,10.31532219812829,True,ok,recovered_from_tracks,0.957808868778804,0.0530425459725623,4.653272004311177,,,,False,False
5,10.31532219812829,True,ok,recovered_from_tracks,0.984774102065398,0.0381581657883609,2.1327496686426226,,,,False,False
6,3.8892173338680327,False,ok,recovered_from_tracks,0.9945941194581568,0.0259615504078047,2.056969131124276,,,,False,False
7,33.40050611998421,False,ok,recovered_from_tracks,0.9779010061137348,0.0458392842552915,0.7784313179746599,,,,False,False
8,14.70708650041059,False,ok,recovered_from_tracks,0.8461354622271834,0.0591351800391635,24.070029097205424,,,,False,False
9,37.31571354905278,True,ok,recovered_from_tracks,0.9929019537878596,0.0237356723259552,1.5007082720362854,,,,False,False
10,,False,fit_exception,recovered_from_tracks,,,,,,,False,False
11,11.524484297596716,False,ok,recovered_from_tracks,0.1354832061397511,0.1689420912835125,20.131052636201744,,,,False,False
12,400.0000000000001,False,ok,recovered_from_tracks,0.9294752317132768,0.0948041466630635,0.0349999999999999,,,,False,True
13,16.799373666247643,True,ok,recovered_from_tracks,0.973468349990051,0.0484777671060321,1.190520575191614,,,,False,False
14,2.609533535895589,False,ok,recovered_from_tracks,0.0028357295497378,0.2870706120242212,133.3571671768406,,,,False,False
15,2.0,False,ok,recovered_from_tracks,-0.3501160450947618,0.3107351978692385,174.0,,,,True,False
16,215.0221774248377,False,ok,recovered_from_tracks,0.6605563379809984,0.1295906392972307,1.6091363418591849,,,,False,False
17,16.431051224762765,True,ok,recovered_from_tracks,0.9957748803173296,0.0189715484498748,1.8258113610398743,,,,False,False
18,4.963263801749598,False,ok,recovered_from_tracks,0.9691487200948632,0.0565348045184383,2.82072453917619,,,,False,False
19,400.0000000000001,False,ok,recovered_from_tracks,0.0714840693107791,0.3935336878034884,0.0099999999999999,,,,False,True
20,7.563005735029783,True,ok,recovered_from_tracks,0.9899339715662772,0.0276071342829324,4.231122006398159,,,,False,False
21,25.037584059433488,False,ok,recovered_from_tracks,0.8811502078171263,0.0658878560442818,13.499705051320664,,,,False,False
22,14.70708650041059,False,ok,recovered_from_tracks,0.7979302989604329,0.0630906572567114,14.142841955420137,,,,False,False
23,15.036764129240376,True,ok,recovered_from_tracks,0.974969174938869,0.0438120055058427,2.527139461215961,,,,False,False
24,11.02468068000533,True,ok,recovered_from_tracks,0.975598566748436,0.0453609148240411,1.9955226494586653,,,,False,False
25,13.459089604791997,False,ok,recovered_from_tracks,0.8860450151779145,0.0442654468521838,14.85984608712254,,,,False,False
26,22.912973778594367,False,ok,recovered_from_tracks,0.7972749229297419,0.0639181177514313,8.728679303375404,,,,False,False
27,13.459089604791997,True,ok,recovered_from_tracks,0.972873582017129,0.0415915619946018,3.4177646000381845,,,,False,False
28,2.0,False,ok,recovered_from_tracks,-0.0782277850439767,0.4004038077273559,170.0,,,,True,False
29,9.867958548865444,False,ok,recovered_from_tracks,0.7619391117795987,0.0556205749422746,20.06494038453017,,,,False,False
30,11.782819941207142,False,ok,recovered_from_tracks,0.9634834685786628,0.0302507332834369,16.464649461504443,,,,False,False
31,400.0000000000001,False,ok,recovered_from_tracks,0.6539715403731645,0.239062706366361,0.8449999999999998,,,,False,True
32,12.04694649945082,False,ok,recovered_from_tracks,0.93873270719989,0.0352151147878394,16.435700117787206,,,,False,False
33,17.56097284316421,False,ok,recovered_from_tracks,0.9617937972146932,0.0591660807902194,1.9361114161300497,,,,False,False
34,2.0,False,ok,recovered_from_tracks,-0.3918121071646951,0.5371075825845487,2.0,,,,True,False
35,400.0000000000001,False,ok,recovered_from_tracks,0.3717507566859442,0.2403733366296703,0.0449999999999999,,,,False,True
36,92.60386514723533,False,ok,recovered_from_tracks,0.0873044351604745,0.2607458046689443,2.0733475832216075,,,,False,False
37,,False,fit_exception,recovered_from_tracks,,,,,,,False,False
