frame,t_s
532,4.256
533,4.264
534,4.272
535,4.28
536,4.288
537,4.296
538,4.304
539,4.312
540,4.32
541,4.328
542,4.336
543,4.344
544,4.352
545,4.36
546,4.368
547,4.376
548,4.384
549,4.392
550,4.4
551,4.408
552,4.416
553,4.424
554,4.432
555,4.44
556,4.448
557,4.456
558,4.464
559,4.472
560,4.48
561,4.488
562,4.496
563,4.504
564,4.512
565,4.52
566,4.528
567,4.536
568,4.544
569,4.552
570,4.56
571,4.568
572,4.576
573,4.584
574,4.592
575,4.6
576,4.608
577,4.616
578,4.624
579,4.632
580,4.64
581,4.648
582,4.656
583,4.664
584,4.672
585,4.68
586,4.688
587,4.696
588,4.704
589,4.712
590,4.72
591,4.728
592,4.736
593,4.744
594,4.752
595,4.76
596,4.768
597,4.776
598,4.784
599,4.792
600,4.8
601,4.808
602,4.816
603,4.824
604,4.832
605,4.84
606,4.848
607,4.856
608,4.864
609,4.872
610,4.88
611,4.888
612,4.896
613,4.904
614,4.912
615,4.92
616,4.928
617,4.936
618,4.944
619,4.952
620,4.96
621,4.968
622,4.976
623,4.984
624,4.992
625,5.0
626,5.008
627,5.016
628,5.024
629,5.032
630,5.04
631,5.048
632,5.056
633,5.064
634,5.072
635,5.08
636,5.088
637,5.096
638,5.104
639,5.112
640,5.12
641,5.128
642,5.136
643,5.144
644,5.152
645,5.16
646,5.168
647,5.176
648,5.184
649,5.192
650,5.2
651,5.208
652,5.216
653,5.224
654,5.232
655,5.24
656,5.248
657,5.256
658,5.264
659,5.272
660,5.28
661,5.288
662,5.296
663,5.304
664,5.312
665,5.32
666,5.328
667,5.336
668,5.344
669,5.352
670,5.36
671,5.368
672,5.376
673,5.384
674,5.392
675,5.4
676,5.408
677,5.416
678,5.424
679,5.432
680,5.44
681,5.448
682,5.456
683,5.464
684,5.472
685,5.48
686,5.488
687,5.496
688,5.504
689,5.512
690,5.52
691,5.528
692,5.536
693,5.544
694,5.552
695,5.56
696,5.568
697,5.576
698,5.584
699,5.592
700,5.6
701,5.608
702,5.616
703,5.624
704,5.632
705,5.64
706,5.648
707,5.656
708,5.664
709,5.672
710,5.68
711,5.688
712,5.696
713,5.704
