Dataset,SampleID,n_points,best_model,lognormal_mu,lognormal_sigma,gamma_k,gamma_theta,AIC_lognormal,BIC_lognormal,AIC_gamma,BIC_gamma,tn_start_ms,tn_end_ms,tn_ms,tg_ms,JMAK_n,JMAK_k
FAPI,FAPI,3651,gamma,5.397024577751859,0.9992453629582733,2.9991785323110625,100.02738975623117,49767.65019631853,49780.05570908184,49033.28666046163,49045.69217322494,81.74684441019605,600.0,518.253155589804,0.0,2.2141500179922993,0.0029848287556302616
FAPI-TEMPO,FAPI,6612,gamma,5.39698207011158,0.9995522824225346,2.9995463481022226,100.01512401693891,90130.81211523178,90144.40539814965,88798.3225118912,88811.91579480907,81.75571012772122,600.0,518.2442898722788,0.0,2.2143562420803624,0.0029848144037716807
