dataset,n_points,normalize_method,normalize_denom,X_ind,X_sat,persist_M,smooth_win,fwhm_mode,frac_onset,t_ind_ms,t_sat_ms,induction_time_X05_ms,induction_time_burst_ms,growth_duration_ms,peak_t_ms,peak_dXdt_per_ms,fwhm_left_ms,fwhm_right_ms,fwhm_ms,w_eq_ms,sharpness_X,synchrony_X,peak_dndt_per_ms,sharpness_n,synchrony_n,peak_ratio_dndt_over_dXdt,used_fallback_t_ind,used_fallback_t_sat,used_fallback_window
FAPI,150,p99,0.03917491178714471,0.05,0.9,3,5,burst,0.02,0.0,138.0,0.0,8.0,54.0,50.0,0.023224538400016703,45.38793517406966,55.66087313103273,10.27293795696307,16.993080792852208,1.6541597801955163,5.256529361534635,1.0500000000000007,3.2187218721872193,6.415841584158423,45.21080169237058,False,False,False
FAPI_TEMPO,158,p99,0.0293464202269692,0.05,0.9,3,5,burst,0.02,0.0,174.0,0.0,10.0,202.0,170.0,0.04933864784584549,167.13773213895564,174.87153494213692,7.733802803181277,14.404626560648456,1.862554157021324,26.11910403468109,3.450000000000001,1.5948241801659397,15.922165152113775,69.92489966038875,False,False,False
