t_ms,median_radius_um,drdt_um_per_ms,Dataset
5.0,10.946532458125288,0.08676197335032798,FAPI
15.0,11.877253643169363,0.08057635151439649,FAPI
25.0,12.555569022050259,0.06847071969543622,FAPI
35.0,13.241355800020033,0.0560043141975533,FAPI
45.0,13.690673483000792,0.047515970095232875,FAPI
55.0,14.102408034072027,0.04336756890714586,FAPI
65.0,14.545474993712237,0.04207842906800726,FAPI
75.0,14.98860842373734,0.03872798217318619,FAPI
85.0,15.329178837415915,0.03434730262018085,FAPI
95.0,15.64238312075952,0.03372465455278345,FAPI
105.0,15.952538453900907,0.03592175993490265,FAPI
115.0,16.388728080419355,0.03778141105485687,FAPI
125.0,16.73813947385024,0.037957761843057665,FAPI
135.0,17.1236667641016,0.03645513534826842,FAPI
145.0,17.495065480802122,0.03608734193936692,FAPI
155.0,17.819110194363578,0.03564794981381223,FAPI
165.0,18.207936559950276,0.03706736135784556,FAPI
175.0,18.54967267378218,0.040383008665715835,FAPI
185.0,18.988544682854254,0.04195011921662133,FAPI
195.0,19.46148259140255,0.04126558958462905,FAPI
205.0,19.813133795327186,0.03892970044602422,FAPI
215.0,20.20101893638699,0.03890611295241738,FAPI
225.0,20.584790364631267,0.04194477181351939,FAPI
235.0,21.02419279924351,0.044914330788459904,FAPI
245.0,21.50664624128183,0.04716104123450051,FAPI
255.0,21.974022907044024,0.04704263067487139,FAPI
265.0,22.464622730900786,0.046759151917041504,FAPI
275.0,22.888774150116838,0.04804946984856422,FAPI
285.0,23.397444113231504,0.05503161593475069,FAPI
295.0,23.92416971562716,0.0639337897961345,FAPI
305.0,24.731124121475506,0.06711231384249199,FAPI
315.0,25.391121529640905,0.06334643190150237,FAPI
325.0,25.957231129767276,0.05772227532121358,FAPI
335.0,26.49884862142553,0.05734826912836125,FAPI
345.0,27.086733548963696,0.061352625787516796,FAPI
355.0,27.70251525814616,0.06743584548814952,FAPI
365.0,28.434722040297654,0.07081080254245832,FAPI
375.0,29.197010859380544,0.07036191076191228,FAPI
385.0,29.840886100276812,0.06908032209827879,FAPI
395.0,30.51806584388174,0.07001360876870559,FAPI
405.0,31.258486381693185,0.07024372650041287,FAPI
415.0,31.980227104086506,0.06910655508282938,FAPI
