file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI_41_18,2789.6694,24.0079,233.2174,10.296,0.355473,0.057178,1,25.2066,0.0,5.356505,0.012212,0.472024,0.059003
FAPI_41_19,4165.7025,29.3374,271.6609,11.1123,0.290677,0.058244,1,17.562,0.0,5.48164,0.009999,0.239897,0.029987
FAPI_41_20,1373.9669,16.8487,148.8925,8.2267,0.221174,0.086593,0,0.0,0.0,5.546641,0.01743,0.367124,0.045891
FAPI_41_21,7291.1157,38.8127,352.581,12.6595,0.262969,0.053072,0,0.0,0.0,5.579395,0.00757,0.192182,0.024023
FAPI_41_22,3915.7025,28.4434,268.2072,11.0414,0.315965,0.056539,0,0.0,0.0,5.801233,0.010357,0.418854,0.052357
FAPI_41_23,506.8182,10.233,91.8293,6.4607,0.244734,0.107363,1,10.5372,0.0,5.505687,0.028616,0.219144,0.027393
FAPI_41_24,3666.3223,27.5228,286.9483,11.4206,0.440458,0.044738,2,134.2975,61.6527,5.799992,0.010699,0.448194,0.056024
FAPI_41_25,5913.843,34.9552,321.3835,12.0865,0.280497,0.054285,1,16.9421,0.0,5.584628,0.008402,0.356996,0.044625
FAPI_41_26,6444.4215,36.4896,348.7665,12.5909,0.33423,0.048218,3,63.4298,1.1379,5.760587,0.008072,0.380544,0.047568
FAPI_41_27,1068.3884,14.8574,129.737,7.6793,0.202352,0.095077,1,18.1818,0.0,5.741298,0.019807,0.333114,0.041639
FAPI_41_28,1825.6198,19.4215,180.851,9.0667,0.298579,0.070724,0,0.0,0.0,5.765024,0.015163,0.592227,0.074028
FAPI_41_29,1034.7107,14.6213,123.4458,7.4908,0.14675,0.104251,0,0.0,0.0,5.461828,0.02001,0.222871,0.027859
FAPI_41_30,2722.5207,23.7172,217.3595,9.9398,0.275858,0.06653,0,0.0,0.0,5.540536,0.012376,0.581705,0.072713
FAPI_41_31,3755.5785,27.8558,260.3452,10.8784,0.303714,0.058416,0,0.0,0.0,5.458786,0.010529,0.357283,0.04466
FAPI_41_32,1292.9752,16.3445,156.0549,8.4222,0.332817,0.072508,0,0.0,0.0,5.45323,0.017938,0.27224,0.03403
FAPI_41_33,565.4959,10.8092,95.3286,6.5826,0.218025,0.109024,0,0.0,0.0,5.44956,0.027191,0.582527,0.072816
FAPI_41_34,820.6612,13.0214,121.8214,7.4413,0.305093,0.085608,0,0.0,0.0,5.462994,0.022505,0.424591,0.053074
FAPI_41_35,2308.8843,21.8413,185.1648,9.1742,0.153756,0.084237,0,0.0,0.0,5.488237,0.013442,0.822209,0.102776
FAPI_41_36,3421.281,26.5871,247.5912,10.6086,0.29866,0.060347,0,0.0,0.0,5.53768,0.01105,0.674892,0.084362
FAPI_41_37,10652.2727,46.9136,476.9816,14.7245,0.411632,0.036418,5,117.1488,4.8994,5.505306,0.006258,0.314672,0.039334
FAPI_41_38,2097.5207,20.8176,208.7933,9.742,0.395379,0.05674,0,0.0,0.0,5.714516,0.014127,0.306074,0.038259
FAPI_41_39,2028.5124,20.4723,208.5081,9.7353,0.413671,0.055071,0,0.0,0.0,5.73641,0.014377,0.363931,0.045491
FAPI_41_40,413.2231,9.24,79.7905,6.0223,0.184372,0.124465,0,0.0,0.0,5.428233,0.03177,0.610151,0.076269
FAPI_41_41,6968.8017,37.9452,342.2312,12.4724,0.252298,0.054651,0,0.0,0.0,5.510551,0.007731,0.44547,0.055684
FAPI_41_42,854.9587,13.2908,114.5755,7.2166,0.181588,0.103879,0,0.0,0.0,4.944708,0.021857,0.712583,0.089073
FAPI_41_43,830.3719,13.0983,111.251,7.1112,0.156909,0.108598,2,33.0579,4.6751,5.781607,0.022465,0.551059,0.068882
FAPI_41_44,2251.8595,21.5699,205.0466,9.6542,0.326952,0.063705,0,0.0,0.0,5.51582,0.013612,0.71379,0.089224
FAPI_41_45,6095.0413,35.4867,407.1643,13.6042,0.537995,0.03099,4,78.5124,3.6299,5.5664,0.008285,0.549617,0.068702
FAPI_41_46,3491.7355,26.8595,320.3406,12.0669,0.57241,0.032381,0,0.0,0.0,5.635088,0.01095,0.60929,0.076161
FAPI_41_47,3200.6198,25.7155,247.3138,10.6026,0.342422,0.056629,0,0.0,0.0,5.717277,0.011442,0.442155,0.055269
FAPI_41_48,917.562,13.7688,133.6585,7.7945,0.354566,0.075899,0,0.0,0.0,5.617048,0.021359,0.449585,0.056198
FAPI_41_49,2185.7438,21.2509,208.5727,9.7368,0.368615,0.059269,3,59.2975,4.5376,5.610286,0.013849,0.986011,0.123251
FAPI_41_50,702.8926,12.051,120.0489,7.387,0.38711,0.076155,0,0.0,0.0,5.133898,0.024178,0.442297,0.055287
FAPI_41_51,445.2479,9.5913,86.797,6.2812,0.257318,0.108674,0,0.0,0.0,5.749367,0.030669,0.569695,0.071212
FAPI_41_52,1263.2231,16.1554,156.9829,8.4472,0.355853,0.069811,0,0.0,0.0,5.567308,0.018185,0.36272,0.04534
FAPI_41_53,1649.1736,18.4591,177.5533,8.9837,0.342617,0.066929,0,0.0,0.0,5.724591,0.015936,0.548682,0.068585
FAPI_41_54,2766.3223,23.9072,261.4481,10.9014,0.491441,0.042637,0,0.0,0.0,5.580103,0.012289,0.355786,0.044473
FAPI_41_55,1698.1405,18.7311,181.8782,9.0924,0.354907,0.06489,0,0.0,0.0,5.579348,0.015701,0.917532,0.114692
FAPI_41_56,1007.6446,14.4288,131.2889,7.7251,0.265382,0.087088,0,0.0,0.0,5.724315,0.020392,0.442233,0.055279
FAPI_41_57,2533.8843,22.8808,221.5584,10.0354,0.351335,0.059053,1,17.9752,0.0,5.374711,0.012825,0.77433,0.096791
FAPI_41_58,1063.6364,14.8243,138.4513,7.933,0.302717,0.080495,0,0.0,0.0,5.613996,0.019819,0.658552,0.082319
FAPI_41_59,878.719,13.4742,121.7836,7.4402,0.25547,0.091685,0,0.0,0.0,5.245088,0.02168,0.590515,0.073814
FAPI_41_60,583.2645,10.9777,102.8676,6.838,0.307343,0.093005,0,0.0,0.0,5.386108,0.026755,0.537773,0.067222
FAPI_41_61,784.9174,12.7347,134.9063,7.8308,0.458038,0.063529,0,0.0,0.0,5.560564,0.023087,0.911856,0.113982
FAPI_41_62,1398.5537,16.9987,158.497,8.4879,0.300405,0.075411,1,16.5289,0.0,5.580886,0.017291,0.673311,0.084164
FAPI_41_63,992.1488,14.3175,124.952,7.5363,0.201454,0.097014,0,0.0,0.0,5.704004,0.020571,0.786888,0.098361
FAPI_41_64,919.8347,13.7858,138.8925,7.9456,0.400813,0.069141,0,0.0,0.0,5.815856,0.02134,0.528285,0.066036
FAPI_42_0,977.8926,14.2142,123.0614,7.4791,0.188558,0.099334,0,0.0,0.0,5.44568,0.020608,0.270674,0.033834
FAPI_42_1,3203.9256,25.7287,232.9622,10.2904,0.258141,0.065809,1,47.1074,0.0,5.691693,0.011439,0.567302,0.070913
FAPI_42_2,3193.1818,25.6856,225.2483,10.1186,0.20912,0.07134,0,0.0,0.0,5.541686,0.011417,0.450744,0.056343
FAPI_42_3,6714.4628,37.2463,324.27,12.1407,0.197569,0.060251,2,39.876,2.4836,5.635946,0.007894,0.349105,0.043638
FAPI_42_4,1470.8678,17.4327,178.0291,8.9957,0.416821,0.059339,1,19.4215,0.0,5.560526,0.01684,0.421381,0.052673
FAPI_42_5,2154.9587,21.1007,189.7291,9.2866,0.247718,0.074011,0,0.0,0.0,5.391349,0.01389,0.427186,0.053398
FAPI_42_6,1106.1983,15.118,135.1915,7.839,0.239422,0.088814,0,0.0,0.0,5.665113,0.01944,0.405045,0.050631
FAPI_42_7,357.6446,8.5961,74.2257,5.8085,0.184257,0.129169,0,0.0,0.0,5.570227,0.034091,0.251746,0.031468
FAPI_42_8,1031.1983,14.5965,131.1597,7.7213,0.246729,0.089328,0,0.0,0.0,5.554466,0.020111,0.208444,0.026056
FAPI_42_9,11039.6694,47.759,413.2239,13.7051,0.187553,0.054006,1,21.0744,0.0,5.596837,0.006151,0.327865,0.040983
FAPI_42_10,1392.562,16.9623,141.4827,8.0194,0.125786,0.099673,0,0.0,0.0,5.983586,0.017408,0.519727,0.064966
FAPI_42_11,7512.6033,39.3979,367.0162,12.9161,0.299142,0.049466,1,16.7355,0.0,5.720683,0.007467,0.178984,0.022373
FAPI_42_12,5195.6612,32.7641,295.8565,11.5966,0.254087,0.058663,0,0.0,0.0,5.800807,0.008993,0.348722,0.04359
FAPI_42_13,12582.438,50.987,452.6189,14.3435,0.228192,0.049017,1,226.8595,0.0,5.452199,0.00575,0.217796,0.027224
FAPI_42_14,1267.1488,16.1805,141.6465,8.024,0.206356,0.090486,0,0.0,0.0,5.489797,0.018128,0.153327,0.019166
FAPI_42_15,14461.9835,54.6627,499.6632,15.0705,0.272081,0.043996,5,101.8595,7.9654,5.693269,0.005382,0.320062,0.040008
FAPI_42_16,2652.0661,23.4083,204.4873,9.641,0.202994,0.075482,0,0.0,0.0,5.491347,0.012529,0.423756,0.052969
FAPI_42_17,3216.3223,25.7785,227.5109,10.1693,0.219155,0.070084,2,29.5455,0.4383,5.547948,0.011391,0.296426,0.037053
