file_name	Dataset	FAPI_Area_	FAPI_Perimeter	CD	FAPI_Entropy	file_name	Dataset	FAPI TEMPO_Area_	FAPI TEMPO_Perimeter	CD	FAPI TEMPO_Entropy	Time	Temperature
		um	 um					um	um			s	°C
				circular distortion						circular distortion			
FAPI_0_0	FAPI	782.851239669421	107.081818181818	0.857941418121034	5.046598	FAPI_TEMPO_0_0	FAPI-TEMPO	687.396694214876	99.890909090909	0.865695922713355	5.323593	0.0161538461538462	25.455371024
FAPI_0_1	FAPI	2831.61157024793	221.245454545454	0.726933742732318	5.548226	FAPI_TEMPO_0_5	FAPI-TEMPO	1314.46280991735	145.10909090909	0.784456605854543	5.095001	0.100769230769231	41.846096232
FAPI_0_2	FAPI	9850.41322314049	383.463636363636	0.841813605899002	5.471442	FAPI_TEMPO_0_6	FAPI-TEMPO	772.93388429752	116.172727272727	0.719687302750564	5.338107	0.176923076923077	61.652178528
FAPI_0_3	FAPI	2252.47933884297	202.404545454545	0.690923807077111	5.450258	FAPI_TEMPO_0_7	FAPI-TEMPO	1458.47107438016	155.722727272727	0.755794421173307	5.134423	0.254615384615385	81.261984744
FAPI_0_5	FAPI	1019.62809917355	125.018181818181	0.819795070130877	5.313164	FAPI_TEMPO_0_8	FAPI-TEMPO	320.454545454545	71.2954545454545	0.792232429106753	5.178548	0.330769230769231	98.51876028
FAPI_0_6	FAPI	6325.82644628099	305.295454545454	0.852877112599551	5.137914	FAPI_TEMPO_0_9	FAPI-TEMPO	2937.19008264462	224.954545454545	0.729377515494292	5.362406	0.408461538461538	108.519863392
FAPI_0_7	FAPI	755.99173553719	109.827272727272	0.787601461804937	5.185438	FAPI_TEMPO_0_10	FAPI-TEMPO	1270.24793388429	150.068181818181	0.708795774173849	5.352176	0.484615384615385	114.794916176
FAPI_0_8	FAPI	2923.34710743801	228.645454545454	0.702692154727058	5.205938	FAPI_TEMPO_0_11	FAPI-TEMPO	1408.67768595041	148.422727272727	0.803564392862597	5.147569	0.562307692307692	118.128566496
FAPI_0_10	FAPI	9924.173553719	392.30909090909	0.810303044150923	5.547065	FAPI_TEMPO_0_12	FAPI-TEMPO	1315.70247933884	145.3	0.783134449199636	5.341765	0.638461538461538	118.520814352
FAPI_0_11	FAPI	2782.64462809917	210.645454545454	0.788067515363716	5.264831	FAPI_TEMPO_0_13	FAPI-TEMPO	1817.14876033057	170.186363636363	0.788407647948829	5.077579		
FAPI_0_12	FAPI	4215.90909090909	254.927272727272	0.815208129359189	5.556021	FAPI_TEMPO_0_14	FAPI-TEMPO	2000.61983471074	179.25909090909	0.78236975846866	5.259239		
FAPI_0_13	FAPI	2416.94214876033	196.072727272727	0.79002664709059	5.164667	FAPI_TEMPO_0_16	FAPI-TEMPO	301.446280991735	66.1090909090909	0.866757132559079	5.073014		
FAPI_0_14	FAPI	4640.90909090909	281.640909090909	0.735227004920104	5.479043	FAPI_TEMPO_0_18	FAPI-TEMPO	327.685950413223	72.2045454545454	0.789839062785872	4.911714		
FAPI_0_15	FAPI	9756.61157024793	388.081818181818	0.814071004984212	5.539915	FAPI_TEMPO_0_19	FAPI-TEMPO	413.016528925619	77.6772727272727	0.860180035664556	5.296328		
FAPI_0_16	FAPI	656.818181818181	102.822727272727	0.780686721183896	5.145412	FAPI_TEMPO_0_20	FAPI-TEMPO	963.842975206611	139.086363636363	0.626104816682186	5.286533		
FAPI_0_17	FAPI	4455.57851239669	270.981818181818	0.762489135767984	5.267342	FAPI_TEMPO_0_21	FAPI-TEMPO	1280.78512396694	141.113636363636	0.808254575860519	5.198941		
FAPI_0_18	FAPI	5408.47107438016	294.55	0.783368891539278	5.351023	FAPI_TEMPO_0_22	FAPI-TEMPO	634.504132231404	107.718181818181	0.687173321314494	5.067598		
FAPI_0_22	FAPI	2197.10743801652	186.990909090909	0.789623695301174	5.410099	FAPI_TEMPO_0_23	FAPI-TEMPO	1966.94214876033	180.463636363636	0.758965513217921	5.196273		
FAPI_0_23	FAPI	4874.5867768595	281.85	0.771101577807556	5.221588	FAPI_TEMPO_0_24	FAPI-TEMPO	1556.40495867768	157.404545454545	0.78940146983142	5.362943		
FAPI_0_24	FAPI	3885.74380165289	251.963636363636	0.769145125337723	5.575276	FAPI_TEMPO_0_27	FAPI-TEMPO	435.95041322314	80.45	0.84643743177767	5.1102		
FAPI_0_25	FAPI	984.504132231404	134.018181818181	0.68881082546151	5.290121	FAPI_TEMPO_0_28	FAPI-TEMPO	361.776859504132	74.9772727272727	0.808707312934364	5.096977		
FAPI_0_26	FAPI	6232.64462809917	333.286363636363	0.705094195102768	5.572825	FAPI_TEMPO_0_30	FAPI-TEMPO	924.793388429752	120.381818181818	0.801923210094033	5.19543		
FAPI_0_27	FAPI	6582.43801652892	347.922727272727	0.683330875598162	5.194955	FAPI_TEMPO_0_32	FAPI-TEMPO	1196.28099173553	143.004545454545	0.735094853663467	5.32311		
FAPI_0_29	FAPI	3441.73553719008	239.204545454545	0.755872428411919	5.467389	FAPI_TEMPO_0_33	FAPI-TEMPO	432.024793388429	80.0772727272727	0.846642349189233	4.704662		
FAPI_0_30	FAPI	9707.02479338843	410.236363636363	0.724815872267288	5.264738	FAPI_TEMPO_0_34	FAPI-TEMPO	580.371900826446	93.4727272727272	0.834730750767827	4.828753		
FAPI_0_32	FAPI	4506.81818181818	292.331818181818	0.66271641261981	5.570786	FAPI_TEMPO_0_35	FAPI-TEMPO	421.074380165289	82.8045454545454	0.771721015363361	5.210483		
FAPI_0_33	FAPI	1617.56198347107	164.927272727272	0.747284269821606	4.385143	FAPI_TEMPO_0_36	FAPI-TEMPO	1416.94214876033	146.990909090909	0.82410212006724	5.196385		
FAPI_0_34	FAPI	9055.78512396694	390.863636363636	0.744878496051783	5.171275	FAPI_TEMPO_0_37	FAPI-TEMPO	356.404958677685	73.5363636363636	0.82822684167295	4.776918		
FAPI_0_35	FAPI	1378.09917355371	152.786363636363	0.741858619360984	5.648409	FAPI_TEMPO_0_39	FAPI-TEMPO	359.297520661156	73.0045454545454	0.847157737523899	4.811213		
