time_ms,X_best,X_JMAK
0.0,0.0,0.0
1.0,2.4843548736401453e-07,2.5650287155398743e-06
2.0,1.480167673975864e-06,1.1901885673792911e-05
3.0,4.653144569229453e-06,2.9208178937811802e-05
4.0,1.0695955769082974e-05,5.5224518364149766e-05
5.0,2.050862262683036e-05,9.051021182371333e-05
6.0,3.496325130273645e-05,0.00013552111424353086
7.0,5.490463973087552e-05,0.00019064491570264241
8.0,8.115085838882863e-05,0.00025622048906870365
9.0,0.00011449381253339761,0.0003325497575707992
10.0,0.00015569978961349782,0.0004199055444324973
11.0,0.0002055099939324287,0.0005185370561279212
12.0,0.00026464106984156626,0.0006286738748200182
13.0,0.00033378561432479916,0.0007505289617704136
14.0,0.0004136126795886538,0.0008843009771426491
15.0,0.0005047682661229381,0.0010301761112619934
16.0,0.0006078758065998668,0.001188329556911838
17.0,0.0007235366409144817,0.0013589267116250747
18.0,0.0008523304826237876,0.001542124172767334
19.0,0.0009948158770094013,0.0017380705708176514
20.0,0.0011515306509643978,0.0019469072743664162
21.0,0.0013229923548867687,0.0021687689920371067
22.0,0.001509698696747738,0.0024037842905882956
23.0,0.001712127968491965,0.00265207604413098
24.0,0.001930739464917581,0.0029137618261838583
25.0,0.002165973895176557,0.0031889542538872107
26.0,0.0024182537870296337,0.0034777612918542866
27.0,0.00268798388398474,0.003780286521729459
28.0,0.0029755515354432053,0.004096629382414174
29.0,0.0032813270799740735,0.004426885385052537
30.0,0.00360566422183323,0.004771146306178808
31.0,0.003948900400840862,0.0051295003618681
32.0,0.0043113571557278595,0.005502032365288567
33.0,0.004693340481059092,0.005888823869681592
34.0,0.005095141177839074,0.00628995329849813
35.0,0.0055170351979032,0.006705496064172367
36.0,0.005959283982195602,0.007135524676802563
37.0,0.006422134793032701,0.00758010884384186
38.0,0.006905821040449548,0.008039315561752747
39.0,0.007410562602724281,0.008513209200457506
40.0,0.007936566141174262,0.009001851581312392
41.0,0.0084840254093158,0.009505302049246378
42.0,0.00905312155647773,0.010023617539626106
43.0,0.009644023425957651,0.010556852640345782
44.0,0.010256887847808005,0.011105059649583748
45.0,0.010891859926337849,0.01166828862961744
46.0,0.011549073322414668,0.012246587457048097
47.0,0.012228650530649296,0.01284000186974743
48.0,0.012930703151545557,0.013448575510806804
49.0,0.013655332158695086,0.014072349969741937
50.0,0.014402628161096359,0.014711364821178963
51.0,0.015172671660675877,0.015365657661228993
52.0,0.01596553330508808,0.016035264141733396
53.0,0.016781274135869485,0.016720218002551968
54.0,0.01761994583202137,0.01742055110204266
55.0,0.01848159094909406,0.01813629344587453
56.0,0.019366243153844966,0.018867473214300268
57.0,0.020273927454541193,0.019614116788002067
58.0,0.021204660426976635,0.02037624877261912
59.0,0.022158450436272313,0.021153892022051646
60.0,0.023135297854527698,0.021947067660632036
61.0,0.02413519527438974,0.022755795104243193
62.0,0.025158127718605337,0.023580092080460746
63.0,0.02620407284562192,0.024419974647787113
64.0,0.02727300115129991,0.025275457214043007
65.0,0.02836487616679993,0.026146552553973135
66.0,0.02947965465270637,0.027033271826123362
67.0,0.030617286789448566,0.027935624589037866
68.0,0.03177771636407929,0.028853618816824578
69.0,0.032960880953469815,0.02978726091413131
70.0,0.034166712103979736,0.030736555730574655
71.0,0.03539513550765888,0.0317015065746572
72.0,0.03664607117503783,0.03268211522721032
73.0,0.03791943360456258,0.03367838195439388
74.0,0.0392151319487284,0.034690305520283515
75.0,0.04053307017696655,0.035717883199074096
76.0,0.041873147235337284,0.0367611107869269
77.0,0.04323525720308144,0.037819982613483516
78.0,0.044619289446082205,0.03889449155307134
79.0,0.04602512876728787,0.039984629035622055
80.0,0.04745265555414574,0.04109038505732332
81.0,0.04890174592309636,0.042211748191023024
82.0,0.05037227186117676,0.04334870559640469
83.0,0.0518641013647805,0.0445012430299494
84.0,0.05337709857562169,0.045669344854702754
85.0,0.05491112391394935,0.046852994049858654
86.0,0.05646603420905793,0.0480521722201771
87.0,0.058041682827138875,0.049266859605246904
88.0,0.05963791979651778,0.050497035088607145
89.0,0.0612545919303207,0.05174267620673867
90.0,0.06289154294661267,0.05300375915793687
91.0,0.0645486135860509,0.054280258811076676
92.0,0.0662256417270943,0.05557214871427807
93.0,0.06792246249881041,0.05687940110348366
94.0,0.06963890839132052,0.05820198691095524
95.0,0.07137480936392247,0.05953987577369935
96.0,0.07312999295093067,0.06089303604182783
97.0,0.074904284365272,0.062261434786862635
98.0,0.07669750659987552,0.06364503780999031
99.0,0.07850948052689392,0.06504380965027445
100.0,0.08034002499479309,0.0664577135928307
101.0,0.08218895692334666,0.06788671167697158
102.0,0.08405609139657125,0.06933076470432586
103.0,0.0859412417536376,0.0707898322469388
104.0,0.0878442196777924,0.07226387265535694
105.0,0.08976483528332516,0.07375284306670316
106.0,0.09170289720061364,0.07525669941274638
107.0,0.09365821265928122,0.07677539642796971
108.0,0.0956305875694987,0.07830888765764188
109.0,0.09761982660146289,0.07985712546589419
110.0,0.09962573326308356,0.08142006104380861
111.0,0.10164810997591012,0.08299764441751867
112.0,0.10368675814932843,0.08458982445632768
113.0,0.10574147825305841,0.08619654888084516
114.0,0.10781206988798196,0.08781776427114774
115.0,0.10989833185533053,0.0894534160749636
116.0,0.11200006222426138,0.09110344861588537
117.0,0.1141170583978509,0.09276780510161264
118.0,0.11624911717753277,0.09444642763222699
119.0,0.11839603482600888,0.0961392572085007
120.0,0.12055760712865997,0.0978462337402427
121.0,0.12273362945348251,0.09956729605468151
122.0,0.12492389680957855,0.1013023819048886
123.0,0.127128203904224,0.10305142797824274
124.0,0.12934634519854118,0.10481436990493731
125.0,0.13157811496180039,0.10659114226653155
126.0,0.13382330732437556,0.10838167860454717
127.0,0.13608171632937788,0.11018591142911238
128.0,0.1383531359829919,0.11200377222765234
129.0,0.140637360303537,0.11383519147362875
130.0,0.14293418336927796,0.11568009863532958
131.0,0.1452433993650072,0.11753842218470789
132.0,0.1475648026274211,0.1194100896062733
133.0,0.14989818768931287,0.12129502740603337
134.0,0.15224334932260314,0.12319316112048895
135.0,0.15460008258023036,0.1251044153256815
136.0,0.15696818283692157,0.1270287136462933
137.0,0.15934744582886456,0.12896597876480287
138.0,0.16173766769230175,0.1309161324306919
139.0,0.16413864500106592,0.1328790954697091
140.0,0.16655017480307766,0.13485478779318616
141.0,0.1689720546558236,0.13684312840740942
142.0,0.17140408266083532,0.1388440354230459
143.0,0.17384605749718685,0.14085742606462404
144.0,0.1762977784540303,0.1428832166800682
145.0,0.17875904546218704,0.14492132275028924
146.0,0.18122965912481268,0.14697165889882757
147.0,0.18370942074715393,0.14903413890155204
148.0,0.18619813236541405,0.15110867569641173
149.0,0.18869559677474426,0.15319518139324195
150.0,0.19120161755637835,0.1552935672836232
151.0,0.19371599910392628,0.1574037438507938
152.0,0.19623854664884383,0.1595256207796143
153.0,0.19876906628509353,0.1616591069665848
154.0,0.2013073649930137,0.16380411052991384
155.0,0.2038532506624099,0.16596053881963801
156.0,0.20640653211488494,0.1681282984277932
157.0,0.20896701912542226,0.1703072951986352
158.0,0.21153452244323706,0.17249743423890962
159.0,0.21410885381191033,0.17469861992817193
160.0,0.21668982598881933,0.17691075592915384
161.0,0.21927725276387955,0.17913374519817915
162.0,0.2218709489776109,0.18136748999562435
163.0,0.22447073053854247,0.18361189189642702
164.0,0.2270764144399691,0.18586685180063856
165.0,0.22968781877607242,0.18813226994402077
166.0,0.23230476275742024,0.1904080459086872
167.0,0.23492706672585598,0.19269407863378651
168.0,0.23755455216879146,0.19499026642622774
169.0,0.2401870417329148,0.19729650697144585
170.0,0.2428243592373258,0.19961269734420883
171.0,0.24546632968611076,0.20193873401946172
172.0,0.2481127792803682,0.20427451288321052
173.0,0.25076353542969715,0.20661992924344175
174.0,0.2534184267631592,0.2089748778410787
175.0,0.25607728313972566,0.21133925286097277
176.0,0.25873993565822045,0.2137129479429274
177.0,0.2614062166667696,0.21609585619275729
