file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI_TEMPO_19_15,3240.2893,25.8743,232.4218,10.2784,0.246228,0.06694,0,0.0,0.0,5.637416,0.011367,0.378083,0.04726
FAPI_TEMPO_19_16,2728.0992,23.7415,206.8916,9.6975,0.199089,0.075404,0,0.0,0.0,5.880085,0.012418,0.403038,0.05038
FAPI_TEMPO_19_17,6403.3058,36.373,343.5169,12.4958,0.318104,0.04976,0,0.0,0.0,5.851903,0.008108,0.324096,0.040512
FAPI_TEMPO_19_18,2555.1653,22.9767,206.0092,9.6768,0.243419,0.071402,1,11.157,0.0,5.6343,0.012796,0.29097,0.036371
FAPI_TEMPO_19_19,4692.9752,31.1388,272.0909,11.121,0.203419,0.065331,0,0.0,0.0,5.530584,0.009431,0.133353,0.016669
FAPI_TEMPO_19_20,2217.562,21.405,201.456,9.5693,0.313366,0.065567,0,0.0,0.0,5.7114,0.013747,0.33821,0.042276
FAPI_TEMPO_19_21,2450.8264,22.5026,204.5409,9.6423,0.263857,0.069733,0,0.0,0.0,5.535817,0.013049,0.216372,0.027046
FAPI_TEMPO_19_22,800.0,12.8565,109.6534,7.0599,0.163906,0.108497,0,0.0,0.0,5.381058,0.02281,0.300153,0.037519
FAPI_TEMPO_19_23,5095.0413,32.4453,294.3614,11.5672,0.261083,0.058263,0,0.0,0.0,5.807816,0.009084,0.217077,0.027135
FAPI_TEMPO_19_24,4376.0331,30.0689,256.9751,10.8077,0.167262,0.070279,0,0.0,0.0,5.777852,0.009799,0.553291,0.069161
FAPI_TEMPO_19_25,937.1901,13.9153,122.6659,7.4671,0.21731,0.095996,0,0.0,0.0,5.413047,0.021057,0.217985,0.027248
FAPI_TEMPO_19_26,1836.5702,19.4796,178.4513,9.0063,0.275267,0.073557,0,0.0,0.0,5.670972,0.015102,0.329014,0.041127
FAPI_TEMPO_19_27,3503.9256,26.9063,245.294,10.5592,0.268202,0.063254,0,0.0,0.0,5.69227,0.01094,0.39111,0.048889
FAPI_TEMPO_19_28,2861.7769,24.3162,211.1062,9.7958,0.193055,0.075201,0,0.0,0.0,5.582291,0.012074,0.497554,0.062194
FAPI_TEMPO_19_29,4825.8264,31.5764,278.8879,11.2591,0.22031,0.063161,0,0.0,0.0,5.590623,0.009307,0.123284,0.01541
FAPI_TEMPO_19_30,2978.719,24.808,225.5224,10.1247,0.26403,0.066366,1,15.7025,0.0,5.813828,0.011877,0.202153,0.025269
FAPI_TEMPO_19_31,1238.0165,15.9934,150.2428,8.2639,0.310794,0.076339,0,0.0,0.0,5.347403,0.018298,0.36543,0.045679
FAPI_TEMPO_19_32,5002.2727,32.1485,278.3743,11.2487,0.188817,0.065765,2,44.2149,1.461,5.758613,0.009162,0.258295,0.032287
FAPI_TEMPO_19_33,1101.2397,15.0841,136.6978,7.8826,0.259425,0.08601,0,0.0,0.0,5.312891,0.019389,0.209797,0.026225
FAPI_TEMPO_19_34,451.0331,9.6534,83.4458,6.1587,0.186028,0.121407,0,0.0,0.0,5.453593,0.030374,0.176839,0.022105
FAPI_TEMPO_19_35,3792.562,27.9926,256.9483,10.8072,0.278143,0.060955,0,0.0,0.0,5.463455,0.010485,0.172339,0.021542
