r_over_R,FAPI_nn_median_px,FAPI_nn_q25_px,FAPI_nn_q75_px,FAPITEMPO_nn_median_px,FAPITEMPO_nn_q25_px,FAPITEMPO_nn_q75_px,FAPI_imp_median,FAPI_imp_q25,FAPI_imp_q75,FAPI_n_grains,FAPI_mean_ring_pixels,FAPITEMPO_imp_median,FAPITEMPO_imp_q25,FAPITEMPO_imp_q75,FAPITEMPO_n_grains,FAPITEMPO_mean_ring_pixels,FAPI_nn_median_um,FAPI_nn_q25_um,FAPI_nn_q75_um,FAPITEMPO_nn_median_um,FAPITEMPO_nn_q25_um,FAPITEMPO_nn_q75_um
0.02,90.67069986309292,75.275912715047,110.28744548250457,76.31588965852742,62.65589370459203,94.90044963873316,0.6056320113883582,0.4896804108861766,0.7135117257186807,55188,47.56939914474161,0.561534749726092,0.4530607833617601,0.6776332882826474,41316,41.25827766482718,41.21133194391853,34.21414669750425,50.127467107777036,34.68683340993183,28.47813943866846,43.13382313795175
0.06,84.49504384121721,69.73025463613195,103.40586093357854,69.85917125968008,58.97724229856071,85.22822416088711,0.5737787840057956,0.4587576508358496,0.6915024816288309,108045,90.52276366328844,0.5305108101169218,0.4332881320662299,0.6406610005187414,124268,63.95213570669843,38.40439419365004,31.693553426660095,46.99967317242472,31.75214816315329,26.806131563700813,38.73763676897248
0.1,83.24485695559244,68.71866463609207,101.9629224722685,68.7427187788688,58.20002315336019,83.54941755967411,0.5678969051403121,0.4535810964879563,0.686337255137985,123014,135.64851155153073,0.5234255567505708,0.4281759418517681,0.6326184275614274,162625,87.49020753266718,37.83616358758644,31.233769049284167,46.343833788880936,31.244702054809604,26.452872614179185,37.97459141676171
0.14,83.0446591700452,68.50425303815618,101.69724698046606,68.53887107396872,58.08144694447018,83.30068977194684,0.5668175322933215,0.4526095536888244,0.6854013970584636,126142,185.7556166859571,0.5220361762755406,0.4268279552059989,0.6310058238501657,172236,116.95369725260689,37.74517038463243,31.1363154336343,46.223079886037276,31.15204990317376,26.398977767083085,37.861540525578754
0.18,82.99263567212704,68.4694225667411,101.64075473828706,68.51289585718868,58.061880083214845,83.26809042471062,0.5666116917872787,0.4524200383013155,0.6851922174443812,126757,237.68080658267397,0.5219029215077546,0.4266103338256845,0.6307857166527711,173858,149.14804610659274,37.721524844840346,31.12048440860177,46.19740322810687,31.140243737756997,26.390084305187326,37.846723583367705
0.22,82.98159687034419,68.45164375633087,101.63013828280084,68.50697660657781,58.05881868327652,83.25820774338922,0.5665801095229593,0.4524010934999048,0.6851406046393658,126858,290.07550962493497,0.5219073270941736,0.4265932049570239,0.6307863632624605,174107,181.94780795717577,37.71650752695019,31.11240364537296,46.192577873590245,31.137553340504606,26.38869284830807,37.84223174133883
0.26,82.97835627693054,68.44809644364041,101.626438819483,68.50454571072163,58.0579725184896,83.25324641853365,0.566575954426405,0.4523895055938843,0.685124999861136,126883,342.0216498664124,0.5218817190849836,0.4265525964923461,0.630774035128779,174182,214.64928637861547,37.71503462367419,31.11079133311535,46.19089640635732,31.136448458153403,26.38830825242466,37.83997673717747
0.3,82.97757218065982,68.44562236264707,101.6245872785234,68.5045889668435,58.05716490772565,83.25208906032931,0.5665709613754121,0.4523745842431012,0.6851181181771694,126894,393.0497895881602,0.5218722413081732,0.4265292872308932,0.6307323322872086,174216,246.88350094136013,37.71467823895744,31.109666822405423,46.190054850383795,31.13646811877585,26.387941179982022,37.83945069874159
0.3399999999999999,82.97607220377212,68.44527779383878,101.62442456373168,68.50458244908644,58.05714648653301,83.25187539163379,0.5665693265540969,0.4523765181625309,0.68511760609798,126897,442.1782311638573,0.5218733638502507,0.4265420342166127,0.6307411413427668,174219,278.1288206223202,37.71399647466621,31.10951021018607,46.18998089382116,31.136465156347523,26.38793280724545,37.83935358278736
0.38,82.97638896035188,68.44527779383878,101.62442456373168,68.50454571072163,58.05716490772565,83.25187539163379,0.5665693265540969,0.4523761417342447,0.68511760609798,126897,488.04526505748754,0.5218739101277206,0.4265316267184589,0.6307391227356165,174224,307.5322688033796,37.71414044576794,31.10951021018607,46.18998089382116,31.136448458153403,26.387941179982022,37.83935358278736
0.42,82.97638896035188,68.44527779383878,101.62442456373168,68.50367209209799,58.05696278341208,83.25162357602234,0.5665674033769306,0.4523761417342447,0.68511760609798,126897,528.7806094706731,0.5218744564051904,0.4265310715830873,0.6307411413427668,174227,334.0975279376905,37.71414044576794,31.10951021018607,46.18998089382116,31.13605138404737,26.387849311140236,37.839239128429256
0.4599999999999999,82.97607220377212,68.44461424562675,101.62442456373168,68.50367209209799,58.05681592267641,83.25137176041089,0.5665674033769306,0.4523740650793867,0.68511760609798,126897,562.3771247547223,0.5218744564051904,0.4265321818538304,0.6307451785570676,174225,356.3242760797819,37.71399647466621,31.109208616554742,46.18998089382116,31.13605138404737,26.38778256050815,37.839124674071144
0.5,82.976230582062,68.44511190678577,101.6244788019956,68.50450897235683,58.05731597066777,83.25162357602234,0.5665683649655138,0.4523756225705302,0.6851177767910431,126896,586.5234286344723,0.5218769862735272,0.4265420342166127,0.6307563881690795,174223,372.8962192133071,37.71406846021708,31.109434811778236,46.190005546008706,31.136431759959287,26.388009840586403,37.839239128429256
0.54,82.97607220377212,68.44461424562675,101.62442456373168,68.50367209209799,58.057183328918285,83.25187539163379,0.5665674033769306,0.4523740650793867,0.68511760609798,126897,598.9482020851557,0.5218769862735272,0.426551886579395,0.6307675977810915,174221,382.2284053013127,37.71399647466621,31.109208616554742,46.18998089382116,31.13605138404737,26.38794955271859,37.83935358278736
0.5800000000000001,82.97607220377212,68.44461424562675,101.62442456373168,68.50409053222741,58.05745011634899,83.25174948382806,0.5665674033769306,0.4523740650793867,0.68511760609798,126897,597.2350252567043,0.5218757213393588,0.4265520106579049,0.6307710091428624,174218,383.1827078717469,37.71399647466621,31.109208616554742,46.18998089382116,31.13624157200333,26.388070812016046,37.839296355608305
