r_over_R,FAPI_nn_median_px,FAPI_nn_q25_px,FAPI_nn_q75_px,FAPI_imp_median,FAPI_imp_q25,FAPI_imp_q75,FAPI_n_grains,FAPI_mean_ring_pixels,FAPITEMPO_nn_median_px,FAPITEMPO_nn_q25_px,FAPITEMPO_nn_q75_px,FAPITEMPO_imp_median,FAPITEMPO_imp_q25,FAPITEMPO_imp_q75,FAPITEMPO_n_grains,FAPITEMPO_mean_ring_pixels
0.02,90.67069986309293,75.275912715047,110.28744548250457,0.6056320113883582,0.48968041088617664,0.7135117257186807,55188,47.56939914474161,76.31588965852742,62.65589370459203,94.90044963873316,0.561534749726092,0.45306078336176014,0.6776332882826474,41316,41.25827766482718
0.06,84.49504384121721,69.73025463613195,103.40586093357854,0.5737787840057956,0.4587576508358496,0.6915024816288309,108045,90.52276366328844,69.85917125968008,58.97724229856071,85.22822416088711,0.5305108101169218,0.43328813206622996,0.6406610005187414,124268,63.95213570669843
0.1,83.24485695559244,68.71866463609207,101.9629224722685,0.5678969051403121,0.4535810964879563,0.686337255137985,123014,135.64851155153073,68.7427187788688,58.20002315336019,83.54941755967411,0.5234255567505708,0.4281759418517681,0.6326184275614274,162625,87.49020753266718
0.14,83.0446591700452,68.50425303815618,101.69724698046606,0.5668175322933215,0.45260955368882444,0.6854013970584636,126142,185.7556166859571,68.53887107396872,58.08144694447018,83.30068977194684,0.5220361762755406,0.4268279552059989,0.6310058238501657,172236,116.95369725260689
0.18,82.99263567212704,68.4694225667411,101.64075473828706,0.5666116917872787,0.4524200383013155,0.6851922174443812,126757,237.68080658267394,68.51289585718868,58.061880083214845,83.26809042471062,0.5219029215077546,0.42661033382568453,0.6307857166527711,173858,149.14804610659274
0.22,82.98159687034419,68.45164375633087,101.63013828280083,0.5665801095229593,0.4524010934999048,0.6851406046393658,126858,290.07550962493497,68.50697660657781,58.05881868327652,83.25820774338922,0.5219073270941736,0.4265932049570239,0.6307863632624605,174107,181.94780795717577
0.26,82.97835627693054,68.44809644364041,101.626438819483,0.566575954426405,0.45238950559388436,0.685124999861136,126883,342.02164986641236,68.50454571072163,58.0579725184896,83.25324641853365,0.5218817190849836,0.42655259649234617,0.630774035128779,174182,214.64928637861547
0.30000000000000004,82.97757218065982,68.44562236264707,101.62458727852339,0.5665709613754121,0.4523745842431012,0.6851181181771694,126894,393.0497895881602,68.5045889668435,58.05716490772565,83.25208906032931,0.5218722413081732,0.42652928723089323,0.6307323322872086,174216,246.88350094136015
0.33999999999999997,82.97607220377212,68.44527779383878,101.62442456373168,0.5665693265540969,0.4523765181625309,0.68511760609798,126897,442.1782311638573,68.50458244908644,58.057146486533014,83.25187539163379,0.5218733638502507,0.42654203421661274,0.6307411413427668,174219,278.1288206223202
0.38,82.97638896035188,68.44527779383878,101.62442456373168,0.5665693265540969,0.4523761417342447,0.68511760609798,126897,488.04526505748754,68.50454571072163,58.05716490772565,83.25187539163379,0.5218739101277206,0.4265316267184589,0.6307391227356165,174224,307.53226880337957
