r_over_R,FAPI_mean_veff,FAPI_std_veff,FAPI_cv_veff,FAPI_median_veff,FAPI_q25_veff,FAPI_q75_veff,FAPI_n_grains,FAPI_mean_ring_pixels,FAPITEMPO_mean_veff,FAPITEMPO_std_veff,FAPITEMPO_cv_veff,FAPITEMPO_median_veff,FAPITEMPO_q25_veff,FAPITEMPO_q75_veff,FAPITEMPO_n_grains,FAPITEMPO_mean_ring_pixels
0.02,0.050733610875422906,0.016119368683393354,0.31772563405697046,0.0464539826201982,0.039428004361562,0.0579485445578997,73177,47.052994793446025,0.04686177658106294,0.01596764118123743,0.34073913424123203,0.0423024976897124,0.0369567867982855,0.05179499005641045,54687,40.75410975186059
0.06,0.03907993460468755,0.01623689811269115,0.41547915258649315,0.0343264177353008,0.027583469531454102,0.045908652564985,151939,86.57336167804185,0.03348031483404307,0.013485037674221169,0.4027751154988981,0.0296374419575409,0.02508039304687095,0.0372223768594551,170623,62.36372587517509
0.1,0.03665876721536162,0.01641786753646555,0.44785650974061536,0.032034449427229356,0.025010059101769448,0.0435200701725091,174652,128.86794310972678,0.03026007523302897,0.013134895266201176,0.434066841045537,0.02671715810873615,0.021712773218092674,0.034148789823868576,225084,84.98111371754545
0.14,0.03615708393929871,0.016490114868069,0.4560687165965308,0.03159880575191465,0.024438110485801225,0.04307489166179643,179376,176.26110516457052,0.02953572350590775,0.013108288581412327,0.44381132491270786,0.0260714035987779,0.02101886862064125,0.0335079319154053,238739,113.50252367648352
0.18,0.03604978055795708,0.01651501082202856,0.4581168197536583,0.03152086235470215,0.024325615156166675,0.0429862685569535,180316,225.4444031588988,0.029401849537750543,0.013118058486725207,0.4461643975792155,0.0259559049310001,0.0209025679099798,0.0333953772591466,241069,144.7012971389934
0.22,0.03602983479884176,0.01652083698758442,0.4585321326012716,0.0315091205725128,0.0243094394418681,0.04297164475228438,180480,275.07394725177306,0.02937828314550809,0.013122085545738658,0.44665937354971036,0.0259385815125686,0.020884383263854375,0.03337921947507,241444,176.49675701197793
0.26,0.03602501981947249,0.016522472575218196,0.4586388198539549,0.0315033927936688,0.024305681209404975,0.04296964070551908,180518,324.2334393246103,0.029370958848991494,0.013123870247085606,0.44683152206780063,0.0259348416646303,0.0208796991072571,0.0333738483154785,241551,208.16885875032602
0.30000000000000004,0.03602280929344616,0.016523267486998148,0.4586890309525172,0.0315032366708787,0.02430549564969025,0.04296856538356715,180535,372.3719001855596,0.02936762173462038,0.013124854814075488,0.44691582221665205,0.0259314815246228,0.0208755248902635,0.0333713008090807,241597,239.3470034810035
0.33999999999999997,0.03602193616051456,0.01652368423603841,0.45871171839316194,0.0315005015460558,0.0243018965216984,0.0429675571907745,180541,418.5929456466952,0.02936671892698728,0.01312515528439761,0.4469397932070621,0.0259314137410347,0.0208754408255656,0.0333712583119269,241609,269.4963846545452
0.38,0.03602183596731535,0.0165236871812647,0.45871307604247535,0.03150049236307145,0.024301885607771075,0.042967551088482325,180542,461.53542665972464,0.029366268227453005,0.013125303895796922,0.44695171324243216,0.0259313798493735,0.020875398793471597,0.03337123706339215,241615,297.7740123750595
0.42000000000000004,0.036021518300837024,0.01652386023087638,0.458721925402362,0.0315004648141397,0.02430186014197545,0.04296754498619015,180543,499.3976282658425,0.029366029178686553,0.013125397893302714,0.4469585524633661,0.02593136290357735,0.0208753777774873,0.03337122643913375,241618,323.1825857345065
0.45999999999999996,0.03602139744633693,0.01652397120319081,0.4587265451821375,0.0315004464482138,0.024301845590115848,0.04296754498619015,180543,530.3670205989708,0.029366053794641734,0.013125364652529127,0.4469570458569425,0.02593136290357735,0.0208753824477023,0.03337121935629885,241616,344.31747483610354
0.5,0.03602154389994437,0.016523948687770743,0.45872405507294933,0.0315004464482138,0.0243018528660413,0.0429675571907745,180541,552.1946427681247,0.029365849743125734,0.0131254935768762,0.4469645418637597,0.0259313403092153,0.020875359096648127,0.033371212273466955,241614,359.87749054276657
0.54,0.0360213994322527,0.016524016943960457,0.4587277897139456,0.0315004372652615,0.024301841952153125,0.042967551088482325,180542,562.8137386314542,0.029365729177898207,0.013125429982833475,0.44696421135396786,0.0259313233634684,0.0208753520913423,0.0333712087320525,241611,368.3929746576108
